태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
비석태양광발전소,경상북도 청도군 화양읍 비석길,,35.6559564151281,128.695749843726,,정상가동,20,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
한빛2호태양광발전소,경상북도 청도군 풍각면 승마길,,35.6315468781838,128.61105342743,,정상가동,57,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
한빛1호태양광발전소,경상북도 청도군 풍각면 승마길,,35.6315468781838,128.61105342743,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ농장4호태양광발전소,경상북도 청도군 화양읍 화양남산길,,35.6372195295796,128.711641242296,,정상가동,96,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ농장3호태양광발전소,경상북도 청도군 화양읍 화양남산길,,35.6372195295796,128.711641242296,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
보석2태양광발전소,경상북도 청도군 이서면 대곡길,,35.7134174837208,128.697930429447,,정상가동,50,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
보석1태양광발전소,경상북도 청도군 이서면 대곡길,,35.7134174837208,128.697930429447,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
대성태양광발전소,경상북도 청도군 매전면 청려로,,35.7031851936548,128.810767955664,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
땡큐쏠라2호태양광발전소,,경상북도 청도군 풍각면 현리리,35.6526052388592,128.601214166741,,정상가동,99,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ농원태양광발전소,경상북도 청도군 각남면 칠성윗길,,35.6578810917207,128.68801727832,,정상가동,30,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇㅇ태양광발전소,경상북도 청도군 풍각면 차옥길,,35.6156298053235,128.617467506199,,정상가동,20,380,60,2022,발전사업용,,경상북도 청도군,,2025-06-16
ㅇㅇ태양광발전소,,경상북도 청도군 청도읍 덕암리,35.6885777345405,128.75048146421,,정상가동,100,380,60,2023,발전사업용,,경상북도 청도군,,2025-06-16
