태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
신기1리마을회 태양광발전소,"경상북도 청송군 파천면 신기길 23, 신기보건소",경상북도 청송군 파천면 신기리,36.483917835421,129.032734164113,,정상가동,19,380,60,2024,,2024-02-20,,,2026-01-01
OOO농원 태양광발전소,경상북도 청송군 청송읍 길안청송로,경상북도 청송군 청송읍 덕리,36.4360913632119,129.008209518896,,정상가동,19,380,60,2024,,2023-10-18,,,2026-01-01
OOO태양광,,경상북도 청송군 안덕면,36.2889433818906,128.959974416562,,정상가동,17,380,60,2024,,2023-10-18,,,2026-01-01
OOO발전소,경상북도 청송군 주왕산면 한소길,경상북도 청송군 주왕산면 내룡리,36.3191447733968,129.207776591434,,정상가동,19,380,60,2024,,2023-10-18,,,2026-01-01
OOO태양광발전소2,경상북도 청송군 현서면 잣나무길,경상북도 청송군 현서면 백자리,36.233334412549,128.940739635227,,정상가동,50,380,60,2024,,2023-05-23,,,2026-01-01
OOO태양광발전소,경상북도 청송군 주왕산면 당마을길,경상북도 청송군 주왕산면 상의리,36.3920316277161,129.139684231985,,정상가동,28,380,60,2023,,2023-04-19,,,2026-01-01
OOO태양광발전소,,경상북도 청송군 청송읍,36.4279964219116,129.057606925592,,정상가동,32,380,60,2023,,2023-04-19,,,2026-01-01
OOO 태양광발전소,경상북도 청송군 청송읍 중앙로,경상북도 청송군 청송읍 월막리,36.4382467669655,129.109647564829,,정상가동,44,380,60,2023,,2023-04-19,,,2026-01-01
OOO 태양광발전소,경상북도 청송군 주왕산면 부동로,경상북도 청송군 주왕산면 신점리,36.3519141124495,129.111537798296,,정상가동,14,380,60,2023,,2022-12-13,,,2026-01-01
OOO 태양광발전소,경상북도 청송군 안덕면 당밑길,경상북도 청송군 안덕면 명당리,36.3043139092379,128.963485170989,,정상가동,17,380,60,2022,,2022-09-28,,,2026-01-01
OOO농원,경상북도 청송군 현서면 구덕길,경상북도 청송군 현서면 덕계리,36.2848512540861,128.900837328872,,정상가동,20,380,60,2022,,2022-06-29,,,2026-01-01
OOO 발전소,경상북도 청송군 주왕산면 주왕산로,경상북도 청송군 주왕산면 하의리,36.3664116975134,129.155793272401,,정상가동,26,380,60,2022,,2022-06-29,,,2026-01-01
OOO태양광발전소,경상북도 청송군 청송읍 굿바들길,경상북도 청송군 청송읍 금곡리,36.4201543805785,129.080157693952,,정상가동,98,380,60,2022,,2022-05-10,,,2026-01-01
송강3호 태양광발전소,경상북도 청송군 진보면 이촌2길,경상북도 청송군 진보면 이촌리,36.525872165563,129.036494229059,,정상가동,99,380,60,2022,,2022-05-04,,,2026-01-01
송강1호 태양광발전소,경상북도 청송군 부남면 양숙길,경상북도 청송군 부남면 양숙리,36.2786677576972,129.115631428292,,정상가동,99,380,60,2022,,2023-08-02,,,2026-01-01
덕계2 태양광발전소,경상북도 청송군 현서면 구덕길,경상북도 청송군 현서면 덕계리,36.2848512540861,128.900837328872,,정상가동,50,380,60,2023,,2022-05-04,,,2026-01-01
덕계1 태양광발전소,경상북도 청송군 현서면 구덕길,경상북도 청송군 현서면 덕계리,36.2848512540861,128.900837328872,,정상가동,95,380,60,2022,,2022-05-04,,,2026-01-01
OOO 태양광발전소,경상북도 청송군 주왕산면 이전앞길,경상북도 청송군 주왕산면 주산지리,36.3565835927324,129.162508440134,,정상가동,29,380,60,2022,,2022-03-21,,,2026-01-01
OOO 태양광발전소2호,,경상북도 청송군 안덕면 지소리,36.3534830019813,128.991947358687,,정상가동,29,380,60,2022,,2022-02-23,,,2026-01-01
솔향 태양광발전소,경상북도 청송군 청송읍 금월로,경상북도 청송군 청송읍 금곡리,36.4219260583749,129.056309656281,,정상가동,98,380,60,2022,,2022-01-10,,,2026-01-01
동양1호 태양광발전소,경상북도 청송군 진보면 진안동윗길,경상북도 청송군 진보면 진안리,36.5305319730762,129.047483259512,,정상가동,16,380,60,2022,,2021-12-30,,,2026-01-01
동양2호 태양광발전소,경상북도 청송군 진보면 진안동윗길,경상북도 청송군 진보면 진안리,36.5305319730762,129.047483259512,,정상가동,19,380,60,2022,,2021-12-30,,,2026-01-01
양어장2호 태양광발전소,경상북도 청송군 청송읍 사부실길,경상북도 청송군 청송읍 송생리,36.3851047916471,129.110559086014,,정상가동,99,380,60,2022,,2021-12-30,,,2026-01-01
양어장1호 태양광발전소,경상북도 청송군 청송읍 사부실길,경상북도 청송군 청송읍 송생리,36.3851047916471,129.110559086014,,정상가동,99,380,60,2022,,2021-12-30,,,2026-01-01
사부실2호 태양광발전소,경상북도 청송군 청송읍 사부실길,경상북도 청송군 청송읍 송생리,36.3851047916471,129.110559086014,,정상가동,98,380,60,2022,,2021-12-30,,,2026-01-01
사부실1호 태양광발전소,경상북도 청송군 청송읍 사부실길,경상북도 청송군 청송읍 송생리,36.3851047916471,129.110559086014,,정상가동,99,380,60,2024,,2021-12-30,,,2026-01-01
OOO 태양광발전소,,경상북도 청송군 현서면,36.2759052781412,128.895956501507,,정상가동,92,380,60,2022,,2021-11-03,,,2026-01-01
OOO1 태양광발전소,경상북도 청송군 안덕면 달밭우질길,경상북도 청송군 안덕면 문거리,36.2975465798609,128.990907015539,,정상가동,61,380,60,2022,,2021-11-03,,,2026-01-01
OOO1 태양광발전소,경상북도 청송군 청송읍 군청로,경상북도 청송군 청송읍 월막리,36.4355896523669,129.0560649427,,정상가동,99,380,60,2022,,2021-10-06,,,2026-01-01
