태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
㈜디원 태양광발전소,광주광역시 북구 동운로32번길 24,,35.1779754189888,126.856412498369,,정상가동,99.36,380,60,2013,발전사업용,,,,2026-01-13
한성 태양광발전소,광주광역시 북구 첨단벤처로 28번길 13,,35.2241935699352,126.858510537376,,정상가동,70.2,380,60,2013,발전사업용,,,,2026-01-13
기린물류센터 태양광발전소,광주광역시 북구 하서로 523번길 95,,35.2237964366021,126.869755088015,,정상가동,99.375,380,60,2013,발전사업용,,,,2026-01-13
연정 태양광발전소,광주광역시 북구 빛고을대로 768-1,,35.2289963952217,126.873827158266,,정상가동,45.0,380,60,2013,발전사업용,,,,2026-01-13
그린홈 태양광발전소,광주광역시 북구 고운로13번길 13,,35.1827929386316,126.899806234957,,정상가동,11.16,380,60,2014,발전사업용,,,,2026-01-13
미봉 H.T 솔라에너지 태양광발전소,광주광역시 북구 첨단벤처소로38번길 6,,35.2339761490429,126.861922621168,,정상가동,99.0,380,60,2014,발전사업용,,,,2026-01-13
정우쏠라태양광발전소,광주광역시 북구 첨단벤처소로38번길 29,,35.2319273513022,126.861892806978,,정상가동,31.02,380,60,2014,발전사업용,,,,2026-01-13
일월 태양광발전소,광주광역시 북구 하서로466번길 8,,35.2157688145154,126.877241774984,,정상가동,36.0,380,60,2014,발전사업용,,,,2026-01-13
은선태양광발전소,광주광역시 북구 첨단벤처소로38번길 27,,35.2322544198783,126.861944982791,,정상가동,34.185,380,60,2014,발전사업용,,,,2026-01-13
박기창 우석빌딩태양광발전소,광주광역시 북구 동문대로 169,,35.177680270805,126.928413646369,,정상가동,25.85,380,60,2014,발전사업용,,,,2026-01-13
㈜가람이앤씨태양광발전소,광주광역시 북구 삼소로270번길 24,,35.2371811660722,126.864802031421,,정상가동,249.9,380,60,2014,발전사업용,,,,2026-01-13
㈜도시환경이엔지태양광발전소2호기,광주광역시 북구 첨단벤처소로38번길 20-14,,35.2333097882003,126.860434214974,,정상가동,91.8,380,60,2014,발전사업용,,,,2026-01-13
신세계 태양광발전소,광주광역시 북구 서방로19번길9-9+10-18,,35.1734146955557,126.915162349064,,정상가동,49.14,380,60,2014,발전사업용,,,,2026-01-13
서울 태양광발전소,광주광역시 북구 서방로19번길 9-7,,35.1737193833314,126.914946652645,,정상가동,30.16,380,60,2014,발전사업용,,,,2026-01-13
군왕로94 태양광발전소,광주광역시 북구 군왕로 94,,35.1695433547137,126.932815533847,,정상가동,12.0,380,60,2014,발전사업용,,,,2026-01-13
승원 태양광발전소,광주광역시 북구 첨단벤처소로15번길 26,,35.23620564178,126.859270014741,,정상가동,99.11,380,60,2014,발전사업용,,,,2026-01-13
소윤 태양광발전소,광주광역시 북구 첨단벤처소로15번길 26,,35.23620564178,126.859270014741,,정상가동,99.11,380,60,2014,발전사업용,,,,2026-01-13
준희 태양광발전소,광주광역시 북구 첨단벤처소로15번길 46,,35.2360765204549,126.859771966409,,정상가동,99.11,380,60,2014,발전사업용,,,,2026-01-13
