태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
인천백석고등학교 태양광발전소,인천광역시 서구 서곶로 701,,37.5806035848726,126.67429208606,,정상가동,35.0,380,60,2024,,2023-10-24,인천광역시청,,2025-09-12
인천순복음교회 태양광발전소,인천광역시 미추홀구 인하로 458,,37.443693565374,126.697155133527,,정상가동,144.0,380,60,2024,,2023-10-18,인천광역시청,,2025-09-12
평택정밀 태양광 발전소,인천광역시 미추홀구 염전로 270,,37.4723141469354,126.669946181466,,정상가동,111.86,380,60,2024,,2023-09-05,인천광역시청,,2025-09-12
메인테크 태양광 발전소,인천광역시 미추홀구 염전로289번길 55,,37.4743149525132,126.672190591081,,정상가동,110.67,380,60,2024,,2023-09-05,인천광역시청,,2025-09-12
용현태양광,인천광역시 미추홀구 수봉로130번길 5,,37.4572461732903,126.664008540611,,정상가동,14.87,380,60,2023,,2023-09-05,인천광역시청,,2025-09-12
GS칼텍스 항동물류센터 태양광발전소 2호,인천광역시 중구 연안부두로115번길 42,,37.4467275221407,126.602134576762,,정상가동,49.56,380,60,2023,,2023-08-30,인천광역시청,,2025-09-12
GS칼텍스 항동물류센터 태양광발전소,인천광역시 중구 연안부두로115번길 42,,37.4467275221407,126.602134576762,,정상가동,49.56,380,60,2023,,2023-08-30,인천광역시청,,2025-09-12
삼림상사 태양광발전소,인천광역시 서구 한서로 97,,37.5789861447325,126.652802314761,,정상가동,48.0,380,60,2023,,2023-08-21,인천광역시청,,2025-09-12
해빛 에너지 태양광 발전소,인천광역시 남동구 만의골로 3-8,,37.4454646685043,126.763354592077,,정상가동,72.59,380,60,2024,,2023-08-21,인천광역시청,,2025-09-12
김영열 태양광발전소,인천광역시 남동구 인주대로 832-10,,37.447906753236,126.729418664455,,정상가동,15.0,380,60,2023,,2023-08-04,인천광역시청,,2025-09-12
폴그린테크 태양광발전소,인천광역시 서구 대곡로89번안길 21,,37.6156443627825,126.67066640162,,정상가동,95.55,380,60,2023,,2023-08-04,인천광역시청,,2025-09-12
한라정공 태양광발전소,인천광역시 남동구 앵고개로621번길 28-45,,37.3915972595527,126.710188393306,,정상가동,199.92,380,60,2023,,2023-07-24,인천광역시청,,2025-09-12
윤복남1-2 태양광발전소,인천광역시 남동구 남동동로183번길 14,,37.4015132006047,126.700731038982,,정상가동,81.0,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
윤복남1 태양광발전소,인천광역시 남동구 남동동로183번길 14,,37.4015132006047,126.700731038982,,정상가동,81.0,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
SS 태양광발전소,인천광역시 남동구 남동동로183번길 12,,37.4014006779302,126.700986055193,,정상가동,81.0,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
HS 태양광발전소,인천광역시 남동구 남동동로183번길 12,,37.4014006779302,126.700986055193,,정상가동,81.0,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
동아피제이피 태양광발전소,인천광역시 서구 원전로37번길 12-13,,37.5515040476177,126.643415678012,,정상가동,258.0,380,60,2024,,2023-07-04,인천광역시청,,2025-09-12
동원화스너 태양광발전소,인천광역시 남동구 남동대로49번길 49,,37.3920926176029,126.684853369216,,정상가동,91.08,380,60,2023,,2023-07-04,인천광역시청,,2025-09-12
은일5호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,37.7545772232535,126.394346973953,,정상가동,49.5,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일4호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,37.7545772232535,126.394346973953,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일3호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,37.7545772232535,126.394346973953,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일2호 태양광발전소,인천광역시 강화군 하점면 고려산로 510-34,,37.7545772232535,126.394346973953,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
은일1호 태양광발전소,,인천광역시 강화군 하점면 신삼리 772-1,37.7542112093344,126.394250327638,,정상가동,99.55,380,60,2023,,2023-06-20,인천광역시청,,2025-09-12
웨스트버드 태양광발전소,인천광역시 중구 운남로82번길 5,,37.4855963138151,126.533728071757,,정상가동,19.72,380,60,2023,,2023-06-05,인천광역시청,,2025-09-12
브니엘2호 태양광발전소,인천광역시 강화군 하점면 고려산로 264,,37.7643753185885,126.417317690055,,정상가동,92.4,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
브니엘 1호 태양광발전소,인천광역시 강화군 하점면 고려산로 264,,37.7643753185885,126.417317690055,,정상가동,99.0,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
주원2호 태양광발전소,인천광역시 강화군 강화읍 강화산단로73번길 30,,37.765439056451,126.501597524534,,정상가동,99.96,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
주원1호 태양광발전소,인천광역시 강화군 강화읍 강화산단로73번길 30,,37.765439056451,126.501597524534,,정상가동,99.96,380,60,2023,,2023-05-23,인천광역시청,,2025-09-12
햇살그린발전소 13호,인천광역시 남동구 남동동로34번길 69,,37.3876846946133,126.696127260961,,정상가동,74.97,380,60,2023,,2023-05-22,인천광역시청,,2025-09-12
(주)엔티스2호 태양광발전소,인천광역시 서구 보듬3로 24,,37.5985190253651,126.612835047253,,정상가동,70.81,380,60,2023,,2023-05-17,인천광역시청,,2025-09-12
(주)엔티스1호 태양광발전소,인천광역시 서구 보듬3로 24,,37.5985190253651,126.612835047253,,정상가동,99.96,380,60,2023,,2023-05-17,인천광역시청,,2025-09-12
광덕산업 태양광발전사업,인천광역시 서구 북항로31번길 77,,37.4994835425449,126.645553809054,,정상가동,199.92,380,60,2023,,2023-05-09,인천광역시청,,2025-09-12
곽순찬태양광발전소,인천광역시 남동구 하촌서로 48-17,,37.4529874232547,126.731018900956,,정상가동,15.47,380,60,2023,,2023-05-09,인천광역시청,,2025-09-12
선재해림 태양광발전소,인천광역시 옹진군 영흥면 선재로226번길 107-34,,37.2529825180276,126.52715953184,,정상가동,378.42,380,60,2023,,2023-05-03,인천광역시청,,2025-09-12
빠쎄 태양광발전소,인천광역시 옹진군 영흥면 영흥북로 374-24,,37.2811569035845,126.487304920556,,정상가동,98.82,380,60,2023,,2023-05-03,인천광역시청,,2025-09-12
SH에너지 오류동 태양광발전소,인천광역시 서구 길무로177번길 11,,37.5840399982719,126.624326632689,,정상가동,62.64,380,60,2023,,2023-04-26,인천광역시청,,2025-09-12
케이제이인더스트리 태양광발전소,인천광역시 중구 축항대로211번길 13,,37.4527232538631,126.619556598808,,정상가동,500.39,22900,60,2023,,2023-04-26,인천광역시청,,2025-09-12
