태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
성식 태양광,,"전라남도 강진군 강진읍 남성리 32-11, 32-12",,,옥상,정상가동,19.7,380.0,60,2024,발전사업용,2024-03-19,전라남도 강진군,,2024-09-30
현지 태양광발전소,,"전라남도 강진군 강진읍 동성리 298-1, 296-7",,,옥상,정상가동,19.8,380.0,60,2024,발전사업용,2024-03-19,전라남도 강진군,,2024-09-30
봉진 태양광발전소,,"전라남도 강진군 강진읍 동성리 298-5, 296-9, 297-6",,,옥상,정상가동,19.8,380.0,60,2024,발전사업용,2024-03-19,전라남도 강진군,,2024-09-30
세종 태양광발전소,,전라남도 강진군 군동면 삼신리 355-1,34.6328256357267,126.790759271655,옥상,정상가동,19.36,220.0,60,2024,발전사업용,2024-02-23,전라남도 강진군,,2024-09-30
대구 태양광발전소,,"전라남도 강진군 대구면 수동리 529, 530, 532-3, 539-3",,,옥상,정상가동,32.83,380.0,60,2024,발전사업용,2023-11-30,전라남도 강진군,,2024-09-30
탐진 태양광발전소,,전라남도 강진군 군동면 호계리 556-3,34.6520920863831,126.784549303526,옥상,정상가동,40.0,380.0,60,2024,발전사업용,2023-11-09,전라남도 강진군,,2024-09-30
강토 태양광발전소,,전라남도 강진군 강진읍 서성리 350-6,34.6339790889199,126.759914999696,옥상,정상가동,30.6,380.0,60,2024,발전사업용,2023-11-09,전라남도 강진군,,2024-09-30
은광 태양광발전소,,전라남도 강진군 성전면 월남리 10-1,34.7556442019903,126.729965885733,옥상,정상가동,29.52,380.0,60,2023,발전사업용,2023-07-17,전라남도 강진군,,2024-09-30
청해 태양광발전소,,전라남도 강진군 성전면 영풍리 776-1,34.7139009173844,126.709585980612,옥상,정상가동,74.38,380.0,60,2023,발전사업용,2023-06-28,전라남도 강진군,,2024-09-30
자연사랑1호 태양광발전소,,전라남도 강진군 작천면 현산리 740-14,34.6981604357444,126.757122563333,옥상,정상가동,29.5,380.0,60,2023,발전사업용,2023-05-21,전라남도 강진군,,2024-09-30
요셉 태양광발전소,,전라남도 강진군 마량면 마량리 1161-1,34.4596092747665,126.814466475153,옥상,정상가동,30.0,380.0,60,2023,발전사업용,2023-05-21,전라남도 강진군,,2024-09-30
태웅 태양광발전소,,전라남도 강진군 성전면 금당리 923,34.6619152578238,126.729092179354,옥상,정상가동,70.0,380.0,60,2023,발전사업용,2023-05-15,전라남도 강진군,,2024-09-30
양성길 태양광,,전라남도 강진군 강진읍 평동리 144-4,34.6352268470983,126.769346608877,옥상,정상가동,29.75,380.0,60,2023,발전사업용,2023-04-18,전라남도 강진군,,2024-09-30
대진2호 태양광발전소,,전라남도 강진군 군동면 용소리 69,34.6738146103975,126.853771427642,옥상,정상가동,60.0,380.0,60,2024,발전사업용,2022-11-02,전라남도 강진군,,2024-09-30
대진1호 태양광발전소,,전라남도 강진군 군동면 용소리 69,34.6738146103975,126.853771427642,옥상,정상가동,62.5,380.0,60,2024,발전사업용,2022-11-02,전라남도 강진군,,2024-09-30
춘호 태양광발전소,,전라남도 강진군 도암면 항촌리 1672-15,34.5364636851754,126.738618448904,옥상,정상가동,42.25,380.0,60,2023,발전사업용,2022-10-07,전라남도 강진군,,2024-09-30
마량산내들 태양광발전소,,전라남도 강진군 마량면 마량리 973-1,34.4502874065289,126.819448098686,옥상,정상가동,19.64,380.0,60,2023,발전사업용,2022-10-04,전라남도 강진군,,2024-09-30
개산마을 태양광발전소,,전라남도 강진군 옴천면 개산리 210-2,34.7449896205255,126.797851372996,옥상,정상가동,15.0,380.0,60,2023,발전사업용,2022-10-04,전라남도 강진군,,2024-09-30
현진 태양광발전소,,전라남도 강진군 군동면 파산리 1069-1,34.6512951154391,126.802982554028,옥상,정상가동,29.16,380.0,60,2023,발전사업용,2022-09-05,전라남도 강진군,,2024-09-30
우진 태양광발전소,,전라남도 강진군 칠량면 흥학리 14-11,34.5564255223493,126.835208516222,옥상,정상가동,17.26,220.0,60,2022,발전사업용,2022-06-29,전라남도 강진군,,2024-09-30
신영희 태양광발전소,,전라남도 강진군 대구면 사당리 323-12,34.5067296692999,126.799676516863,옥상,정상가동,49.98,380.0,60,2022,발전사업용,2022-03-04,전라남도 강진군,,2024-09-30
신풍발전소1호,,"전라남도 강진군 강진읍 교촌리 4-2, 5",,,옥상,정상가동,19.47,380.0,60,2022,발전사업용,2021-11-22,전라남도 강진군,,2024-09-30
성일2호 태양광발전소,,전라남도 강진군 칠량면 흥학리 14-5,34.5566832733537,126.835095017813,옥상,정상가동,19.68,380.0,60,2022,발전사업용,2021-11-18,전라남도 강진군,,2024-09-30
진현2호 태양광발전소,,전라남도 강진군 칠량면 단월리 755-16,34.5649789692316,126.84006912106,옥상,정상가동,92.16,380.0,60,2022,발전사업용,2021-10-12,전라남도 강진군,,2024-09-30
명주 태양광발전소,,전라남도 강진군 칠량면 명주리 428-3,34.5573857131284,126.857149454757,옥상,정상가동,45.0,380.0,60,2021,발전사업용,2020-12-02,전라남도 강진군,,2024-09-30
진현 태양광발전소,,전라남도 강진군 칠량면 단월리 755-16,34.5649789692316,126.84006912106,옥상,정상가동,99.45,380.0,60,2021,발전사업용,2020-12-02,전라남도 강진군,,2024-09-30
길성 태양광발전소,,전라남도 강진군 작천면 평기리 147-4,34.6886657104903,126.773021023723,옥상,정상가동,29.92,380.0,60,2021,발전사업용,2020-12-02,전라남도 강진군,,2024-09-30
가우 태양광발전소,,전라남도 강진군 도암면 신기리 248-1,34.5302025772922,126.76217201685,옥외,정상가동,14.85,220.0,60,2021,발전사업용,2020-12-02,전라남도 강진군,,2024-09-30
장미2태양광발전소,,전라남도 강진군 칠량면 단월리 749-17,34.5666451121672,126.837271788607,옥상,정상가동,29.7,380.0,60,2021,발전사업용,2020-10-20,전라남도 강진군,,2024-09-30
에덴 태양광발전소,,전라남도 강진군 도암면 석문리 1262,34.5410604695015,126.717812166885,옥상,정상가동,29.92,380.0,60,2020,발전사업용,2020-07-17,전라남도 강진군,,2024-09-30
행복 태양광발전소,,전라남도 강진군 칠량면 단월리 749-6,34.5682380010896,126.83899646448,옥상,정상가동,43.86,380.0,60,2020,발전사업용,2020-07-02,전라남도 강진군,,2024-09-30
아지채 태양광발전소,,전라남도 강진군 강진읍 서성리 153,34.6392249238142,126.765581912707,옥상,정상가동,19.92,380.0,60,2020,발전사업용,2020-06-05,전라남도 강진군,,2024-09-30
강향유 태양광발전소,,전라남도 강진군 강진읍 남성리 50-37,34.6389172642063,126.772483817892,옥상,정상가동,49.77,380.0,60,2020,발전사업용,2020-06-02,전라남도 강진군,,2024-09-30
미소 태양광발전소,,전라남도 강진군 칠량면 장계리 293-2,34.555338388244,126.807378928352,옥상,정상가동,34.2,380.0,60,2020,발전사업용,2020-05-28,전라남도 강진군,,2024-09-30
월오 태양광발전소,,전라남도 강진군 성전면 월남리 921,34.743167926653,126.7135766225,옥외,정상가동,19.92,220.0,60,2020,발전사업용,2020-05-14,전라남도 강진군,,2024-09-30
거암 태양광발전소,,전라남도 강진군 병영면 한학리 637,34.7237366390908,126.805379909018,옥외,정상가동,12.0,380.0,60,2020,발전사업용,2020-05-07,전라남도 강진군,,2024-09-30
깡촌갤러리팜 태양광발전소,,전라남도 강진군 도암면 만덕리 276,34.5808897638812,126.748946633193,옥외,정상가동,26.7,380.0,60,2021,발전사업용,2020-04-08,전라남도 강진군,,2024-09-30
원효2 태양광발전소,,전라남도 강진군 성전면 송학리 846-9,34.67663627303,126.744951188344,옥상,정상가동,576.0,154000.0,60,2020,발전사업용,2020-04-01,전라남도 강진군,,2024-09-30
에스디이에스에스2 태양광발전소,,전라남도 강진군 성전면 송학리 845-7,34.6772922660417,126.742603725109,기타,정상가동,976.64,154000.0,60,2020,발전사업용,2020-03-24,전라남도 강진군,,2024-09-30
에스디바이오2 태양광발전소,,전라남도 강진군 성전면 송학리 846-1,34.6777032057638,126.744952282044,기타,정상가동,952.56,154000.0,60,2020,발전사업용,2020-02-06,전라남도 강진군,,2024-09-30
장미 태양광발전소,,전라남도 강진군 칠량면 단월리 749-17,34.5666451121672,126.837271788607,옥상,정상가동,99.96,380.0,60,2020,발전사업용,2019-12-30,전라남도 강진군,,2024-09-30
조은 태양광발전소,,전라남도 강진군 강진읍 목리 20-4,34.6355584715995,126.782084519733,옥상,정상가동,18.25,380.0,60,2019,발전사업용,2019-07-26,전라남도 강진군,,2024-09-30
콩새미 태양광발전소,,전라남도 강진군 도암면 학장리 382,34.5563422355555,126.755282762212,옥상,정상가동,55.5,380.0,60,2019,발전사업용,2019-06-17,전라남도 강진군,,2024-09-30
항촌1호 태양광발전소,,전라남도 강진군 도암면 항촌리 375-1,34.553744789022,126.733362488078,옥상,정상가동,45.36,380.0,60,2019,발전사업용,2019-04-17,전라남도 강진군,,2024-09-30
에스디솔루션3 태양광발전소,,전라남도 강진군 성전면 송학리 846-4,34.6766431507685,126.746000202007,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-04-04,전라남도 강진군,,2024-09-30
에스디솔루션2 태양광발전소,,전라남도 강진군 성전면 송학리 846-3,34.6771805660504,126.746035660665,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-04-04,전라남도 강진군,,2024-09-30
에스디솔루션1 태양광발전소,,전라남도 강진군 성전면 송학리 846-10,34.6771768574613,126.744950185755,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-04-04,전라남도 강진군,,2024-09-30
에스디피브이1 태양광발전소,,전라남도 강진군 성전면 송학리 846-8,34.6761001413269,126.744926207968,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
에스디피브이3 태양광발전소,,전라남도 강진군 성전면 송학리 846-6,34.6753319712444,126.745543090905,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
에스디이에스에스1 태양광발전소,,전라남도 강진군 성전면 송학리 845-3,34.6771742239267,126.743694595792,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
에스디피브이2 태양광발전소,,전라남도 강진군 성전면 송학리 846-5,34.6760295164055,126.745898307541,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
에스디바이오1 태양광발전소,,전라남도 강진군 성전면 송학리 846-2,34.6777052863476,126.746035149991,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
에스디엔(주)강진1 태양광발전소,,전라남도 강진군 성전면 송학리 843-1,34.6776558640186,126.741350704876,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
에스디엔(주)강진2 태양광발전소,,전라남도 강진군 성전면 송학리 843-2,34.6769901697879,126.74152561392,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
에스디엔이엔지 태양광발전소,,전라남도 강진군 성전면 송학리 845-1,34.6777010576915,126.743070898323,옥외,정상가동,998.82,154000.0,60,2020,발전사업용,2019-02-12,전라남도 강진군,,2024-09-30
청마루1호 태양광발전소,,전라남도 강진군 칠량면 영동리 378-9,34.5708790670529,126.806816300855,옥상,정상가동,77.76,380.0,60,2020,발전사업용,2018-11-16,전라남도 강진군,,2024-09-30
수민 태양광발전소,,전라남도 강진군 마량면 상흥리 682-1,34.4864230199117,126.844580651907,옥외,정상가동,99.19,380.0,60,2021,발전사업용,2018-08-27,전라남도 강진군,,2024-09-30
주영에너지 태양광발전소,,전라남도 강진군 마량면 상흥리 682-3,34.4861878080588,126.844634759594,옥외,정상가동,99.19,380.0,60,2021,발전사업용,2018-08-27,전라남도 강진군,,2024-09-30
형제 태양광발전소,,전라남도 강진군 강진읍 남포리 602,34.621825050737,126.767985428898,옥상,정상가동,19.44,380.0,60,2018,발전사업용,2018-07-31,전라남도 강진군,,2024-09-30
