태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
월드컬처에너지(주),,전라남도 해남군 삼산면 송정리 430-3,34.53987055,126.5700534,,정상가동,99,380,60,2005,,2004-05-18,전라남도 해남군,99,2024-09-24
황산 태양광발전소 ㈜썬볼트전력,,전라남도 해남군 현산면 황산리 산56-2,34.43783275,126.5781948,,정상가동,150000,22900,60,2008,,2006-08-08,전라남도,1500,2024-09-24
신성솔라에너지 태양광발전소 신성솔라에너지㈜,,전라남도 해남군 화산면 평호리 321-2,34.44049454,126.4829277,,정상가동,198,380,60,2010,,2006-10-11,전라남도 해남군,198,2024-09-24
혜인 태양광발전소 ㈜혜인산업,,전라남도 해남군 계곡면 여수리 산33,,,,정상가동,1000,22900,60,2007,,2006-12-12,전라남도,1000,2024-09-24
(주)코너지코너지  태양광발전소,,전라남도 해남군 해남읍 복평리 산157,,,,정상가동,1200,22900,60,2008,,2007-02-16,전라남도,1200,2024-09-24
해남 황산발전소 ㈜에이치에스파워,전라남도 해남군 황산면 명량로 1803-40,전라남도 해남군 황산면 원호리 516-1,34.57867687,126.4801787,,정상가동,1000,22900,60,2008,,2007-06-14,전라남도,1000,2024-09-24
해남 화원발전소 ㈜에이치에스파워,,전라남도 해남군 화원면 장춘리 190-1,34.63926935,126.3325737,,정상가동,1000,22900,60,2008,,2007-07-09,전라남도,1000,2024-09-24
화산 태양광발전소 원광썬텍㈜,,전라남도 해남군 화산면 석호리 379-15,34.45574195,126.490175,,정상가동,999,22900,60,2010,,2007-07-16,전라남도 해남군,999,2024-09-24
파인 태양광해남 태양광발전소 파인 태양광㈜,,전라남도 해남군 황산면 외입리 7-8,,,,정상가동,1000,22900,60,2009,,2007-07-24,전라남도,1000,2024-09-24
지디태양광주식회사,전라남도 해남군 황산면 송한길 292-10,전라남도 해남군 황산면 한자리 176-9,34.55402233,126.4538617,,정상가동,500,380,60,2008,,2022-06-30,전라남도 해남군,500,2024-09-24
대영일신 태양광발전소 대영산업㈜,,전라남도 해남군 황산면 일신리 산9-16,,,,정상가동,1500,22900,60,2008,,2007-08-10,전라남도,1500,2024-09-24
해남부성 태양광발전소 ㈜부성 태양광,전라남도 해남군 옥천면 옥천로 546-8,전라남도 해남군 옥천면 흑천리 180,34.5610451,126.6849124,,정상가동,490,380,60,2008,,2007-08-18,전라남도 해남군,490,2024-09-24
