태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
의암태양광발전소,,전북특별자치도 완주군 상관면 의암리 486-1,35.7974406627106,127.236970621957,,정상가동,3.0,220,60,2005,,2005-06-24,,751.0,2024-01-29
가온셀태양광발전소,,전북특별자치도 완주군 봉동읍 둔산리 864-2(주차장),35.9646535924962,127.11829451901,,정상가동,3.08,220,60,2006,,2006-01-27,,20.0,2024-01-29
동운태양광발전소,,전북특별자치도 완주군 고산면 삼기리 산 17-1,35.9950938879752,127.237044843149,,정상가동,198.0,380,60,2008,,2008-07-09,,29600.0,2024-01-29
향린태양광발전소,,전북특별자치도 완주군 이서면 남계리 737-1,35.8497419914992,127.014574511583,,정상가동,2.925,380,60,2008,,2008-09-05,,67.5,2024-01-29
연석산태양광발전소,,전북특별자치도 완주군 동상면 사봉리 산43-18,,,,정상가동,40.5,380,60,2008,,2008-12-19,,3725.0,2024-01-29
청암에너지태양광발전소,,"전북특별자치도 완주군 구이면 덕천리 377,건물상부",35.7489743196045,127.12807198376,,정상가동,9.24,380,60,2009,,2009-08-17,,2489.0,2024-01-29
(유)송암에너지태양광발전소,,전북특별자치도 완주군 경천면 가천리 산112 외,36.0361143950092,127.256958365439,,정상가동,89.76,380,60,2009,,2009-11-06,,841.0,2024-01-29
코레스태양광발전소,,"전북특별자치도 완주군 봉동읍 완주산단6로 266(둔산리 857-1,857-5,857-7,857-8)건물상부",35.9663732102,127.123780110156,,정상가동,400.0,22900,60,2009,,2009-12-14,,1645.0,2024-01-29
용흥태양광발전소,,"전북특별자치도 완주군 용진읍 용흥리 482, 옥상",35.8932883837544,127.169668856529,,정상가동,8.78,220380,60,2010,,2010-01-05,,8.78,2024-01-29
이성태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-5,35.8093475489943,127.043607333759,,정상가동,28.98,220380,60,2010,,2010-01-27,,0.0,2024-01-29
이성2호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-21,35.8093415740141,127.043928086506,,정상가동,28.98,220380,60,2010,,2010-01-27,,560.0,2024-01-29
이성3호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-26,35.8091175063183,127.043470342158,,정상가동,28.98,220380,60,2011,,2011-03-14,,70.0,2024-01-29
이성4호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-27,35.8089258601524,127.043574684803,,정상가동,28.98,220380,60,2011,,2011-03-14,,100.0,2024-01-29
이성5호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-29,35.809114864832,127.044042034962,,정상가동,28.98,220380,60,2011,,2011-03-14,,515.0,2024-01-29
이성6호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-30,35.8089885844489,127.044078920063,,정상가동,28.98,220380,60,2011,,2011-03-14,,669.0,2024-01-29
이성7호태양광발전소,,전북특별자치도 완주군 이서면 이성리 592-31,35.8088497376594,127.043975834713,,정상가동,28.98,220380,60,2011,,2011-03-15,,456.0,2024-01-29
원암 태양광발전소,,전북특별자치도 완주군 소양면 명덕리 1130-2외,35.8568969882399,127.208779908667,,정상가동,30.0,380,60,2011,,2011-04-13,,700.0,2024-01-29
명덕 태양광발전소,,전북특별자치도 완주군 소양면 명덕리 1128-2외,35.8574083732398,127.208564368229,,정상가동,30.0,380,60,2011,,2011-04-13,,1450.0,2024-01-29
용안발전 태양광발전소,,전북특별자치도 완주군 삼레읍 석전리 599,,,,정상가동,94.5,380,60,2011,,2011-04-25,,1715.0,2024-01-29
(유)강남식품태양광발전소,,"전북특별자치도 완주군 이서면 이문리 711-2, 711-3, 용서리 124-5, 124-6, 건물상부",,,,정상가동,297.0,22900,60,2011,,2011-08-08,,3004.0,2024-01-29
유한회사 에프알에너지(에프알에너지 태양광발전소),,"전북특별자치도 완주군 소양면 죽절리 22-1, 22-5 건물상부 제1,2동",,,,정상가동,91.8,220380,60,2011,,2011-11-17,,460.0,2024-01-29
K-water고산정수장태양광,,전북특별자치도 완주군 고산면 성재리 27,35.9775480870027,127.227240562789,,정상가동,507.0,22900,60,2011,,2011-12-07,,3366.0,2024-01-29
찬일에너지,,"전북특별자치도 완주군 봉동읍 구미2길134, 건물상부",35.9337869269538,127.132346179748,,정상가동,19.0,380,60,2012,,2012-03-05,,99.41,2024-01-29
구미에너지,,전북특별자치도 완주군 봉동읍 구미2길134,35.9337869269538,127.132346179748,,정상가동,29.75,380,60,2012,,2012-03-05,,523.0,2024-01-29
가천2호태양광발전소,,"전북특별자치도 완주군 경천면 가천리 575-1, 건물상부",36.037073410575,127.258708672745,,정상가동,99.45,220380,60,2012,,2012-03-07,,403.2,2024-01-29
경천1호태양광발전소,,"전북특별자치도 완주군 경천면 가천리 575-2, 건물상부",36.0369004155604,127.258439249023,,정상가동,99.45,220380,60,2012,,2012-03-07,,421.0,2024-01-29
경천2호태양광발전소,,"전북특별자치도 완주군 경천면 가천리 575-3, 건물상부",36.0367386981206,127.25820570354,,정상가동,99.45,220380,60,2012,,2012-03-07,,403.2,2024-01-29
경천3호태양광발전소,,"전북특별자치도 완주군 경천면 가천리 575-4 건물상부(주1,주2)",36.0365505911962,127.258048080734,,정상가동,99.45,220380,60,2012,,2012-03-07,,460.8,2024-01-29
경천4호태양광발전소,,전북특별자치도 완주군 경천면 가천리 575-5 건물상부(주1),36.0363282395458,127.25793140222,,정상가동,66.0,220380,60,2012,,2012-03-07,,372.8,2024-01-29
거성태양광발전소,,전북특별자치도 완주군 이서면 남계리 673-34(토지위),35.8450709818148,127.016483448242,,정상가동,99.45,220380,60,2012,,2012-03-07,,2810.0,2024-01-29
용광에너지,,전북특별자치도 완주군 용진읍 구억리 538 건물상부,35.8653991364923,127.16589324931,,정상가동,10.0,220380,60,2012,,2012-03-13,,84.06,2024-01-29
이엠태양광발전소,,전북특별자치도 완주군 봉동읍 둔산리 868-21(주2)(건물위),35.9585281167433,127.115918597816,,정상가동,93.6,380,60,2012,,2012-03-28,,596.48,2024-01-29
OCI CG공장태양광발전소,,전북특별자치도 완주군 봉동읍 완주산단1로 43(용암리 848) 건물상부(2동),35.9361640702401,127.12901135539,,정상가동,400.0,22900,60,2012,,2012-03-29,,3400.0,2024-01-29
KnH솔라㈜(대유신소재),,전북특별자치도 완주군 봉동읍 용암리 826 대유신소재건물상부,35.9428819776441,127.132197425931,,정상가동,700.7,220380,60,2012,,2012-04-18,,5500.0,2024-01-29
한내태양광발전소,,전북특별자치도 완주군 삼례읍 삼례리 1330-2 건물상부,,,,정상가동,10.0,220,60,2012,,2012-04-27,,213.68,2024-01-29
사봉에너지,,전북특별자치도 완주군 동상면 동상로 1177 건물상부,35.9180264898279,127.305505695623,,정상가동,15.0,380,60,2012,,2012-05-30,,87.35,2024-01-29
봉동태양광발전소,,전북특별자치도 완주군 봉동읍 구암리 806,35.9517443441627,127.108848615882,,정상가동,90.0,220380,60,2012,,2012-07-02,,2590.0,2024-01-29
썬플라워,,"전북특별자치도 완주군 소양면 해월리 871-2, 873-2 건물상부",,,,정상가동,75.0,380,60,2012,,2012-07-17,,556.0,2024-01-29
강명태양광발전소,,전북특별자치도 완주군 소양면 명덕리 14-15 건물상부,35.8883437809843,127.218766533702,,정상가동,20.0,380,60,2012,,2012-07-24,,132.36,2024-01-29
대왕태양광발전소,,전북특별자치도 완주군 용진읍 구억리 797-5 건물상부,35.8758580486506,127.158231304739,,정상가동,60.0,380,60,2012,,2012-08-03,,403.0,2024-01-29
호수위태양광발전소,,전북특별자치도 완주군 화산면 춘산리 256-3,36.055017933337,127.203187581114,,정상가동,30.0,380,60,2012,,2012-08-07,,578.0,2024-01-29
해그림태양광발전소,,전북특별자치도 완주군 화산면 춘산리 256-5,36.0549130324749,127.203452346454,,정상가동,30.0,380,60,2012,,2012-08-07,,611.0,2024-01-29
해바람태양광발전소,,전북특별자치도 완주군 화산면 춘산리 256-4,36.0549052965636,127.20307164401,,정상가동,30.0,380,60,2012,,2012-08-07,,481.0,2024-01-29
텃밭위태양광발전소,,전북특별자치도 완주군 화산면 춘산리 256-1,36.0551413786098,127.203307097916,,정상가동,30.0,380,60,2012,,2012-08-07,,753.0,2024-01-29
원창태양광발전소,,전북특별자치도 완주군 용진읍 봉서로121(용흥리 329-1)건물상부,35.8908039848781,127.169233376779,,정상가동,30.0,220380,60,2012,,2012-08-14,,338.6,2024-01-29
대왕1호태양광발전소,,전북특별자치도 완주군 용진읍 구억리 797-5,35.8758580486506,127.158231304739,,정상가동,30.0,380,60,2012,,2012-09-04,,192.0,2024-01-29
썬플라워2호,,전북특별자치도 완주군 소양면 해월리 871-2,35.8616180356631,127.264055400503,,정상가동,30.0,380,60,2012,,2012-09-10,,530.0,2024-01-29
봉계태양광발전소,,"전북특별자치도 완주군 용진읍 운곡리 266-3,266-4 건물상부",,,,정상가동,99.2,380,60,2012,,2012-09-14,,487.41,2024-01-29
상호마을태양광발전소,,전북특별자치도 완주군 화산면 운산리 730 건물상부,36.0795149824049,127.142933767266,,정상가동,6.0,220,60,2012,,2012-10-08,,89.9,2024-01-29
비봉제1태양광발전소,,전북특별자치도 완주군 비봉면 수선리 471,36.0209244855184,127.186004063148,,정상가동,30.0,220380,60,2012,,2012-11-20,,288.0,2024-01-29
한신태양광발전소,,전북특별자치도 완주군 상관면 죽림리 776-218,35.7432682986606,127.221000719156,,정상가동,30.0,380,60,2012,,2012-12-06,,661.0,2024-01-29
신한태양광발전소,,전북특별자치도 완주군 상관면 죽림리 776-143,35.7434751772632,127.2207841664,,정상가동,30.0,380,60,2012,,2012-12-06,,992.0,2024-01-29
애경케미칼태양광발전전주사업소,,전북특별자치도 완주군 봉동읍 완주산단6로 283 건물상부(주1),35.9694902966396,127.12458831517,,정상가동,250.0,22900,60,2012,,2012-12-21,,3353.0,2024-01-29
비봉제2태양광발전소,,전북특별자치도 완주군 비봉면 수선리 471 건물상부,36.0209244855184,127.186004063148,,정상가동,30.0,220380,60,2013,,2013-01-04,,191.15,2024-01-29
용광2호에너지,,"전북특별자치도 완주군 용진읍 구억리 395-3 건물상부(주1,주2)",35.8636540823975,127.171322039025,,정상가동,98.8,220380,60,2013,,2013-01-04,,531.52,2024-01-29
이문태양광발전소,,"전북특별자치도 완주군 이서면 이문리 154 건물상부(주1,주2,주3)",35.8396570241564,127.007642188078,,정상가동,99.225,380,60,2013,,2013-01-09,,630.64,2024-01-29
용암1호태양광발전소,,"전북특별자치도 완주군 상관면 용암리 50-6,50-10",,,,정상가동,99.0,380,60,2013,,2013-01-09,,3409.0,2024-01-29
미정태양광발전소,,전북특별자치도 완주군 봉동읍 둔산리 876-1 건물상부,35.9636682460785,127.126618632717,,정상가동,20.0,380,60,2013,,2013-01-25,,126.4,2024-01-29
상화태양광발전소,,전북특별자치도 완주군 삼례읍 삼례리 1247-5 건물상부,35.917456472804,127.074039890757,,정상가동,15.0,220,60,2013,,2013-02-21,,86.68,2024-01-29
윤정원태양광발전소,,전북특별자치도 완주군 상관면 신리 842-7 건물상부,35.7642185301544,127.197880778787,,정상가동,30.0,220,60,2013,,2013-02-25,,247.6,2024-01-29
명원태양광발전소,,전북특별자치도 완주군 봉동읍 용암리 802-5 건물상부(주1),35.9447457862086,127.129263370264,,정상가동,80.0,380,60,2013,,2013-02-25,,520.0,2024-01-29
임연심태양광발전소,,전북특별자치도 완주군 봉동읍 용암리 767-10,35.950943381447,127.141308769201,,정상가동,20.0,380,60,2013,,2013-02-25,,166.2,2024-01-29
정규성태양광발전소,,전북특별자치도 완주군 봉동읍 용암리 802-5 건물상부(부1),35.9447457862086,127.129263370264,,정상가동,70.0,380,60,2013,,2013-02-25,,487.9,2024-01-29
경천5호태양광발전소,,전북특별자치도 완주군 경천면 가천리 575(창)(토지위)(건물위),36.037233190896,127.258795412204,,정상가동,3630562275.0,220380,60,2013,,2013-03-04,,440.98,2024-01-29
양전태양광발전소,,"전북특별자치도 완주군 용진읍 신지리1181-1,1186-1건물상부(주1,주2)",,,,정상가동,49.725,380,60,2013,,2013-03-04,,541.0,2024-01-29
창승태양광발전소,,전북특별자치도 완주군 봉동읍 둔산리 870-3,35.9591012832497,127.120963317248,,정상가동,99.0,380,60,2013,,2013-03-04,,1595.0,2024-01-29
삼진태양광발전소,,전북특별자치도 완주군 경천면 가천리 361-1 건물상부,36.0340058856365,127.262039879641,,정상가동,19.75,380,60,2013,,2013-03-11,,173.8,2024-01-29
윤철석태양광발전소,,전북특별자치도 완주군 이서면 이문리 650-1 건물상부,35.8240225510194,127.010795168019,,정상가동,30.0,380,60,2013,,2013-03-11,,135.0,2024-01-29
덕천1호태양광발전소,,전북특별자치도 완주군 구이면 덕천구암길 62-14(덕천리 1070-10)건물상부(주1),35.7365978315461,127.140622876494,,정상가동,36.04,220380,60,2013,,2013-03-26,,164.6,2024-01-29
대림태양광발전소,,전북특별자치도 완주군 소양면 신원리 228-7 건물상부,35.8600361647641,127.30307937673,,정상가동,99.0,220380,60,2013,,2013-04-03,,875.0,2024-01-29
대림1호태양광발전소,,"전북특별자치도 완주군 소양면 신원리 228-9,228-10 건물상부(주1,주2)",,,,정상가동,98.8,220380,60,2013,,2013-05-02,,357.0,2024-01-29
고천태양광,,전북특별자치도 완주군 봉동읍 고천리 539-3 건물상부,35.9156281652101,127.139234960484,,정상가동,20.0,220380,60,2013,,2013-05-03,,77.0,2024-01-29
수양태양광발전소,,"전북특별자치도 완주군 소양면 원암로 120-13(해월리 350)건물상부(주1,주2)",35.8721990694548,127.255177572702,,정상가동,99.5,220380,60,2013,,2013-05-16,,370.0,2024-01-29
평리교회태양광발전소,,전북특별자치도 완주군 소양면 명덕리 1148-1 (건물위),35.8572193247133,127.205826680373,,정상가동,29.58,380,60,2013,,2013-05-30,,292.0,2024-01-29
승자태양광발전소,,전북특별자치도 완주군 소양면 대흥리 455-1 건물상부,35.9080675751108,127.235305975187,,정상가동,70.0,380,60,2013,,2013-05-30,,533.0,2024-01-29
전택균태양광발전소,,"전북특별자치도 완주군 이서면 남계리 745, 753-1",,,,정상가동,99.45,220380,60,2013,,2013-05-30,,1215.0,2024-01-29
써니1호태양광,,"전북특별자치도 완주군 구이면 백여리 976-9 건물상부 주1,주2,주3,주4",,,,정상가동,99.45,380,60,2013,,2013-05-30,,1460.0,2024-01-29
