태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
노천 태양광발전소,,전북특별자치도 익산시 낭산면 삼담리 4-3 토지,36.0866035393698,127.028156885289,,정상가동,99.83,380,60,2024,,,,,2024-09-27
북성 태양광발전소,,전북특별자치도 익산시 낭산면 석천리 136-4 - 토지,36.0552742199891,127.053168381144,,정상가동,31.75,380,60,2024,,,,,2024-09-27
신북2 태양광발전소,,전북특별자치도 익산시 낭산면 석천리 137-1 - 토지,36.0549158641097,127.053637390518,,정상가동,99.06,380,60,2024,,,,,2024-09-27
신북3 태양광발전소,,전북특별자치도 익산시 낭산면 석천리 137-2 - 토지,36.0546836281231,127.053615479673,,정상가동,55.63,380,60,2024,,,,,2024-09-27
대지태양광2호,,전북특별자치도 익산시 낭산면 석천리 8-103 토지,36.0531054217812,127.061284945976,,정상가동,198.0,380,60,2024,,,,,2024-09-27
참새2호태양광발전소,,"전북특별자치도 익산시 낭산면 석천리 879-16, 879-21, 879-32 , 879-3 토지",,,,정상가동,29.04,380,60,2024,,,,,2024-09-27
형제 태양광발전소,,"전북특별자치도 익산시 낭산면 석천리 8-87, 8-96 토지",,,,정상가동,19.97,380,60,2024,,,,,2024-09-27
무형2호 태양광발전소,,"전북특별자치도 익산시 망성면 무형리 1330-4, 1330-7 토지",,,,정상가동,99.83,380,60,2024,,,,,2024-09-27
반석태양광1호,,전북특별자치도 익산시 망성면 무형리 315-12 토지,36.1208497270083,127.042036890804,,정상가동,50.82,380,60,2024,,,,,2024-09-27
리얼 태양광발전소,,전북특별자치도 익산시 망성면 무형리 315-43 토지,36.1205133481152,127.042165673783,,정상가동,9.0,380,60,2024,,,,,2024-09-27
맑음 태양광발전소,,전북특별자치도 익산시 망성면 장선리 363-11 - 토지,36.1167597095605,127.025941182009,,정상가동,47.3,380,60,2024,,,,,2024-09-27
제운2 태양광발전소,,전북특별자치도 익산시 망성면 장선리 363-13 토지,36.1165475737658,127.025472272875,,정상가동,99.83,380,60,2024,,,,,2024-09-27
태양6 태양광발전소,,"전북특별자치도 익산시 망성면 장선리 363-14 , 382-6- 토지",,,,정상가동,85.8,380,60,2024,,,,,2024-09-27
산동면 태양광발전소,,전북특별자치도 익산시 망성면 장선리 363-16 - 토지,36.1163085708136,127.025046787178,,정상가동,30.0,380,60,2024,,,,,2024-09-27
한솔 태양광발전소,,전북특별자치도 익산시 망성면 장선리 380-3 토지,36.1163221170212,127.025342356032,,정상가동,19.84,380,60,2024,,,,,2024-09-27
고니1호 태양광발전소,,전북특별자치도 익산시 망성면 장선리 380-6 토지,36.1158981014433,127.025310786375,,정상가동,18.2,380,60,2024,,,,,2024-09-27
고니3호 태양광발전소,,전북특별자치도 익산시 망성면 장선리 380-7 토지,36.1155962390944,127.025096321096,,정상가동,35.4,380,60,2024,,,,,2024-09-27
고니2호 태양광발전소,,"전북특별자치도 익산시 망성면 장선리 381-1, 380-5- 토지",,,,정상가동,19.97,380,60,2024,,,,,2024-09-27
민영태양광발전소,,"전북특별자치도 익산시 망성면 화산리 201-4,202-3,203-4,203-5,206-7 토지",,,,정상가동,99.0,380,60,2024,,,,,2024-09-27
청정2 발전소,,전북특별자치도 익산시 망성면 화산리 800-5 - 토지,36.1241934086026,127.004458904811,,정상가동,49.98,380,60,2024,,,,,2024-09-27
양지2 발전소,,"전북특별자치도 익산시 망성면 화산리 800-6, 801,797 - 토지",,,,정상가동,59.5,380,60,2024,,,,,2024-09-27
일철태양광발전소,,"전북특별자치도 익산시 망성면 화산리 986-8,986-9,986-15,987-3,988-2,1409-21 토지",,,,정상가동,19.64,220,60,2024,,,,,2024-09-27
서두1호 태양광발전소,,"전북특별자치도 익산시 삼기면 서두리 247-26, 247-40 토지",,,,정상가동,65.34,380,60,2024,,,,,2024-09-27
서두2호 태양광발전소,,"전북특별자치도 익산시 삼기면 서두리 247-27, 247-43 토지",,,,정상가동,15.6,380,60,2024,,,,,2024-09-27
서두3호 태양광발전소,,전북특별자치도 익산시 삼기면 서두리 247-41 토지,36.0280515253374,126.972801592274,,정상가동,66.55,380,60,2024,,,,,2024-09-27
서두4호 태양광발전소,,"전북특별자치도 익산시 삼기면 서두리 산120-5, 247-42 토지",,,,정상가동,55.05,380,60,2024,,,,,2024-09-27
덕진 태양광발전소,,전북특별자치도 익산시 삼기면 용연리 197-33 토지,35.9969648267534,126.99572493939,,정상가동,99.83,380,60,2024,,,,,2024-09-27
용진 태양광발전소,,전북특별자치도 익산시 삼기면 용연리 197-33 토지,35.9969648267534,126.99572493939,,정상가동,99.55,380,60,2024,,,,,2024-09-27
선영3호 태양광발전소,,"전북특별자치도 익산시 성당면 장선리 332-11, 332-15 토지",,,,정상가동,99.55,380,60,2024,,,,,2024-09-27
에코1호 태양광발전소,,전북특별자치도 익산시 여산면 호산리 474 - 토지,36.0453344284712,127.092355444221,,정상가동,99.55,380,60,2024,,,,,2024-09-27
에코2호 태양광발전소,,"전북특별자치도 익산시 여산면 호산리 474-1, 476 - 토지",,,,정상가동,99.55,380,60,2024,,,,,2024-09-27
해테크익산3호 태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 61 - 토지,35.9394332860142,127.06783691106,,정상가동,99.55,380,60,2024,,,,,2024-09-27
두동언태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 61-3 - 토지,35.9388686933285,127.06825057753,,정상가동,19.8,380,60,2024,,,,,2024-09-27
(유)상우2호태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 62 - 토지,35.9391716055255,127.068083936518,,정상가동,49.8,380,60,2024,,,,,2024-09-27
승민태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 76 - 토지,35.9386645079221,127.069288597627,,정상가동,45.0,380,60,2024,,,,,2024-09-27
솔마루3호태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 76-2 - 토지,35.9384751319749,127.069487471082,,정상가동,19.64,380,60,2024,,,,,2024-09-27
메트로2호 태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 76-3 - 토지,35.9382798256316,127.069655086275,,정상가동,19.36,380,60,2024,,,,,2024-09-27
다선2호태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 76-4 - 토지,35.9381057073981,127.069806982436,,정상가동,82.5,380,60,2024,,,,,2024-09-27
천마1호태양광발전소,,전북특별자치도 익산시 왕궁면 쌍제리 76-5토지,35.9377459658792,127.070211167635,,정상가동,99.66,380,60,2024,,,,,2024-09-27
