태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
녹색만성1호태양광발전소,전북특별자치도 전주시 덕진구 정여립로 942-1 (만성동),,35.83433861,127.0761741,옥상,정상가동,39.6,380,60,2024,,2024-09-13,,,2024-09-30
원동8호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.85474028,127.047385,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
원동7호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.85474028,127.047385,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
원동6호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.85474028,127.047385,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
원동5호태양광발전소,전북특별자치도 전주시 덕진구 호남로 2278 (원동),,35.85474028,127.047385,기타,정상가동,99.2,380,60,2024,,2024-09-12,,,2024-09-30
전북도민햇빛발전소1호,"전북특별자치도 전주시 덕진구 소리로 31, 소리문화전당 (덕진동1가)",,35.85477195,127.1393284,옥상,정상가동,250.74,380,60,2024,,2024-09-11,,,2024-09-30
박형근발전소,전북특별자치도 전주시 덕진구 용정길 21 (여의동),,35.85458943,127.0699194,옥상,정상가동,78.74,380,60,2024,,2024-09-11,,,2024-09-30
투썸태양광발전소,전북특별자치도 전주시 덕진구 동부대로 1145 (송천동2가),,35.86939464,127.1218026,옥상,정상가동,59.85,380,60,2024,,2024-09-05,,,2024-09-30
태평태양광발전소,전북특별자치도 전주시 완산구 메너머3길 40-8 (중화산동2가),,35.82415625,127.1186663,옥상,정상가동,20.4,380,60,2024,,2024-09-03,,,2024-09-30
박정오태양광,전북특별자치도 전주시 덕진구 평리마을길 63 (고랑동),,35.88411562,127.0883969,옥상,정상가동,19.8,380,60,2024,,2024-09-02,,,2024-09-30
아리솔태양광발전소,전북특별자치도 전주시 덕진구 송천4길 32-10 (송천동1가),,35.86272802,127.1189712,옥상,정상가동,35.56,380,60,2024,,2024-09-02,,,2024-09-30
동운태양광발전소,전북특별자치도 전주시 완산구 평화9길 14 (평화동2가),,35.78824558,127.136394,옥상,정상가동,99.54,380,60,2024,,2024-09-02,,,2024-09-30
에스알3호태양광발전소,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),,35.8524502,127.1030723,옥상,정상가동,50.4,380,60,2024,,2024-08-26,,,2024-09-30
에스알2호태양광발전소,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),,35.8524502,127.1030723,옥상,정상가동,99.54,380,60,2024,,2024-08-26,,,2024-09-30
에스알1호태양광발전소,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),,35.8524502,127.1030723,옥상,정상가동,99.54,380,60,2024,,2024-08-26,,,2024-09-30
송윤선태양광발전소,전북특별자치도 전주시 완산구 삼산길 124 (삼천동3가),,35.805365,127.0752466,옥상,정상가동,20.0,380,60,2024,,2024-08-26,,,2024-09-30
골프존파크중화산새봄태양광발전소,전북특별자치도 전주시 완산구 선너머로 25-3 (중화산동2가),전북특별자치도 완주군 상관면 의암리 486-1,35.81632939,127.1275949,옥상,정상가동,99.06,380,60,2024,,2024-09-30,,,2024-09-30
