태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
남선철강 당진,,충청남도 당진시 고대면 당진포리 120-23,36.959057,126.562591,,가동중단,650.73,22900,60,2023,발전사업용,2023-08-01,충청남도 당진시,3084,2024-09-01
손현동1호,,충청남도 당진시 고대면 진관리 863-4,36.9220438,126.5839248,,가동중단,99.96,380,60,2023,발전사업용,2023-08-01,충청남도 당진시,456,2024-09-01
손현동2호,,충청남도 당진시 고대면 진관리 863-4,36.9220438,126.5839248,,가동중단,99.96,380,60,2023,발전사업용,2023-08-01,충청남도 당진시,456,2024-09-01
에스에치,,충청남도 당진시 고대면 슬항리 15-8,36.94752453,126.6251203,,가동중단,190.08,380,60,2023,발전사업용,2023-08-07,충청남도 당진시,895,2024-09-01
JS에너지,,충청남도 당진시 고대면 슬항리 15-8,36.94752453,126.6251203,,가동중단,147.84,380,60,2023,발전사업용,2023-08-07,충청남도 당진시,696,2024-09-01
재우,,"충청남도 당진시 순성면 갈산리 723, 723-2",36.8600225,126.6660635,,가동중단,99.55,380,60,2023,발전사업용,2023-08-07,충청남도 당진시,1108,2024-09-01
MZ,,"충청남도 당진시 순성면 갈산리 723, 723-2",36.8600225,126.6660635,,가동중단,99.55,380,60,2023,발전사업용,2023-08-07,충청남도 당진시,1108,2024-09-01
1981,,충청남도 당진시 순성면 갈산리 723,36.8600225,126.6660635,,가동중단,99.55,380,60,2023,발전사업용,2023-08-07,충청남도 당진시,1108,2024-09-01
마당1,,"충청남도 당진시 송산면 부곡리 76, 75-3, 70-1, 70-2",36.91908972,126.6855786,,가동중단,35.7,380,60,2023,발전사업용,2023-08-08,충청남도 당진시,167,2024-09-01
김희자,,충청남도 당진시 석문면 교로리 937-54,37.0500172,126.5060185,,가동중단,19.04,380,60,2023,발전사업용,2023-08-08,충청남도 당진시,94,2024-09-01
진당1,,"충청남도 당진시 송산면 부곡리 76, 75-3, 70-1, 70-2",36.91908972,126.6855786,,정상가동,35.7,380,60,2023,발전사업용,2023-08-09,충청남도 당진시,160,2024-09-01
형은,,충청남도 당진시 순성면 옥호리 647-4,36.85701007,126.7044008,,가동중단,199.8,380,60,2023,발전사업용,2023-08-09,충청남도 당진시,930,2024-09-01
부자1,,충청남도 당진시 송산면 유곡리 304-3,36.95004568,126.6977858,,가동중단,85.68,380,60,2023,발전사업용,2023-08-11,충청남도 당진시,485,2024-09-01
부자2,,충청남도 당진시 송산면 유곡리 304-3,36.95004568,126.6977858,,가동중단,59.5,380,60,2023,발전사업용,2023-08-11,충청남도 당진시,337,2024-09-01
부자3,,충청남도 당진시 송산면 유곡리 304-3,36.95004568,126.6977858,,가동중단,85.68,380,60,2023,발전사업용,2023-08-11,충청남도 당진시,485,2024-09-01
부자4,,충청남도 당진시 송산면 유곡리 304-3,36.95004568,126.6977858,,가동중단,85.68,380,60,2023,발전사업용,2023-08-11,충청남도 당진시,485,2024-09-01
구본철,,충청남도 당진시 신평면 상오리 1157,36.86147067,126.7638017,,가동중단,444.465,380,60,2023,발전사업용,2023-08-17,충청남도 당진시,1822,2024-09-01
위제,,충청남도 당진시 대호지면 송전리 410-22,36.88226924,126.5036474,,가동중단,126.0,380,60,2023,발전사업용,2023-08-18,충청남도 당진시,506,2024-09-01
김의수,,충청남도 당진시 송산면 동곡리 392,36.9711099,126.6983195,,가동중단,202.3,380,60,2023,발전사업용,2023-08-22,충청남도 당진시,1439,2024-09-01
김현수,,충청남도 당진시 송산면 동곡리 392,36.9711099,126.6983195,,가동중단,202.3,380,60,2023,발전사업용,2023-08-22,충청남도 당진시,1439,2024-09-01
대호써니,,충청남도 당진시 대호지면 송전리 419-7,36.8830562,126.503958,,정상가동,99.0,380,60,2023,발전사업용,2023-08-23,충청남도 당진시,772,2024-09-01
송전써니,,충청남도 당진시 대호지면 송전리 419-7,36.8830562,126.503958,,정상가동,52.14,380,60,2023,발전사업용,2023-08-23,충청남도 당진시,1153,2024-09-01
거니써니,,충청남도 당진시 대호지면 송전리 419-7,36.8830562,126.503958,,정상가동,99.0,380,60,2023,발전사업용,2023-08-23,충청남도 당진시,1132,2024-09-01
에이스1호,,"충청남도 당진시 고대면 옥현리 1044, 442-7, 442-8",36.9106342,126.5605256,,정상가동,99.96,380,60,2023,발전사업용,2023-08-24,충청남도 당진시,469,2024-09-01
에이스2호,,"충청남도 당진시 고대면 옥현리 1044, 442-7, 442-8",36.9106342,126.5605256,,정상가동,99.96,380,60,2023,발전사업용,2023-08-24,충청남도 당진시,469,2024-09-01
에이스3호,,"충청남도 당진시 고대면 옥현리 1044, 442-7, 442-8",36.9106342,126.5605256,,정상가동,99.96,380,60,2023,발전사업용,2023-08-24,충청남도 당진시,469,2024-09-01
에이스4호,,"충청남도 당진시 고대면 옥현리 1044, 442-7, 442-8",36.9106342,126.5605256,,정상가동,99.96,380,60,2023,발전사업용,2023-08-24,충청남도 당진시,469,2024-09-01
에이스5호,,"충청남도 당진시 고대면 옥현리 1044, 442-7, 442-8",36.9106342,126.5605256,,정상가동,99.96,380,60,2023,발전사업용,2023-08-24,충청남도 당진시,469,2024-09-01
정경원,,충청남도 당진시 고대면 진관리 39-1,36.9152732,126.6080652,,정상가동,80.92,380,60,2023,발전사업용,2023-08-28,충청남도 당진시,402,2024-09-01
정원2,,"충청남도 당진시 석문면 삼화리 263, 263-22, 264-2, 280-2",36.9639119,126.6240811,,가동중단,172.2,380,60,2023,발전사업용,2023-08-28,충청남도 당진시,2000,2024-09-01
한용현,,"충청남도 당진시 석문면 통정리 542-8, 542-21, 519-4, 519-16",36.9895812,126.588262,,가동중단,245.735,380,60,2023,발전사업용,2023-08-29,충청남도 당진시,1376,2024-09-01
재숙,,"충청남도 당진시 석문면 장고항리 733, 733-1",37.0232029,126.5533918,,가동중단,56.43,380,60,2023,발전사업용,2023-08-29,충청남도 당진시,262,2024-09-01
만세,,충청남도 당진시 대호지면 조금리 150-26,36.8974361,126.5066957,,가동중단,28.8,380,60,2023,발전사업용,2023-08-30,충청남도 당진시,219,2024-09-01
강용신,,충청남도 당진시 대호지면 두산리 111-2,36.8960543,126.5486552232,,정상가동,387.94,380,60,2023,발전사업용,2023-09-04,충청남도 당진시,1800,2024-09-01
최민옥,,충청남도 당진시 대호지면 두산리 111-2,36.8960543,126.5486552232,,정상가동,496.23,380,60,2023,발전사업용,2023-09-04,충청남도 당진시,2303,2024-09-01
갈밭목장4호,,충청남도 당진시 면천면 문봉리 185-35,36.8120206,126.7126708,,정상가동,91.3,380,60,2023,발전사업용,2023-09-05,충청남도 당진시,430,2024-09-01
갈밭목장5호,,충청남도 당진시 면천면 문봉리 185-35,36.8120206,126.7126708,,정상가동,91.3,380,60,2023,발전사업용,2023-09-05,충청남도 당진시,430,2024-09-01
홍태선태양광발전소2호기,,충청남도 당진시 채운동 236-3,36.8887684,126.6248238,,가동중단,18.0,380,60,2023,발전사업용,2023-09-05,충청남도 당진시,94,2024-09-01
류은숙,,"충청남도 당진시 합덕읍 소소리 288-3, 288-66",36.826739,126.7450101,,가동중단,78.54,380,60,2023,발전사업용,2023-09-07,충청남도 당진시,530,2024-09-01
오국찬,,"충청남도 당진시 합덕읍 소소리 291-32, 291-37",36.8265802,126.7444173,,가동중단,185.64,380,60,2023,발전사업용,2023-09-07,충청남도 당진시,842,2024-09-01
아사,,충청남도 당진시 고대면 장항리 19,36.9521676,126.6068109,,가동중단,149.49,380,60,2023,발전사업용,2023-09-07,충청남도 당진시,698,2024-09-01
종훈2호,,충청남도 당진시 고대면 장항리 19-29,36.9521008,126.6073128,,가동중단,99.99,380,60,2023,발전사업용,2023-09-07,충청남도 당진시,467,2024-09-01
현대비앤지스틸 송악공장,,충청남도 당진시 송악읍 부곡리 563-17,36.9586136,126.777436,,가동중단,730.125,22900,60,2023,발전사업용,2023-09-11,충청남도 당진시,2950,2024-09-01
당진하이,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,1093,2024-09-01
당진윤송,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,863,2024-09-01
대영,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,861,2024-09-01
당진나비수4호,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,901,2024-09-01
찬이1호,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,785,2024-09-01
서연,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,913,2024-09-01
푸른하늘3호,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,926,2024-09-01
재영,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,950,2024-09-01
수,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,928,2024-09-01
당진해피,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,929,2024-09-01
당진해비치,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,1092,2024-09-01
엠케이,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,1562,2024-09-01
월랑,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,848,2024-09-01
당진햇빛찬,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,1018,2024-09-01
당진아폴로,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,942,2024-09-01
스카이에너지,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,816,2024-09-01
유니쏠라,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,808,2024-09-01
백만볼트,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,856,2024-09-01
빛사랑2호,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,806,2024-09-01
샤론,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,813,2024-09-01
제이비,,충청남도 당진시 대호지면 도이리 7-5,36.91608538,126.5518687,,가동중단,99.6,380,60,2023,발전사업용,2023-09-12,충청남도 당진시,816,2024-09-01
