태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
옥천 12호 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,63.94,380.0,60,2024,,2024-09-09,충청북도 옥천군,,2024-09-27
옥천도율12호 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-06,충청북도 옥천군,,2024-09-27
한신발전옥천2호 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-06,충청북도 옥천군,,2024-09-27
더나은2호 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-06,충청북도 옥천군,,2024-09-27
영파워도율 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-06,충청북도 옥천군,,2024-09-27
도율리베짱이 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-06,충청북도 옥천군,,2024-09-27
엠에스이10호 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.39900325,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-05,충청북도 옥천군,,2024-09-27
옥천10호 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-05,충청북도 옥천군,,2024-09-27
옥천도율9호 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-05,충청북도 옥천군,,2024-09-27
도율리선우 태양광발전소,,충청북도 옥천군 안내면 도율리 26,36.3990032506,127.6503075041,,정상가동,99.39,380.0,60,2024,,2024-09-04,충청북도 옥천군,,2024-09-27
드림2 태양광발전소,,충청북도 옥천군 이원면 용방리 527,36.24590697,127.6487822,,정상가동,99.66,380.0,60,2024,,2024-09-04,충청북도 옥천군,,2024-09-27
쏠탑용방22호 태양광발전소,,충청북도 옥천군 이원면 용방리 527,36.24590697,127.6487822,,정상가동,99.66,380.0,60,2024,,2024-09-04,충청북도 옥천군,,2024-09-27
자두태양광발전소2호,,충청북도 옥천군 이원면 용방리 65,36.24926748,127.6587694,,정상가동,99.82,380.0,60,2024,,2024-09-03,충청북도 옥천군,,2024-09-27
자두태양광발전소 3호,,충청북도 옥천군 이원면 용방리 65,36.24926748,127.6587694,,정상가동,99.82,380.0,60,2024,,2024-09-03,충청북도 옥천군,,2024-09-27
에코태양광발전소8호,,충청북도 옥천군 이원면 용방리 64,36.24923479,127.6577085,,정상가동,99.82,380.0,60,2024,,2024-09-03,충청북도 옥천군,,2024-09-27
에코태양광발전소7호,,충청북도 옥천군 이원면 용방리 64,36.24923479,127.6577085,,정상가동,499.72,380.0,60,2024,,2024-09-03,충청북도 옥천군,,2024-09-27
옥천용방 태양광발전소,,충청북도 옥천군 이원면 용방리 446-3,36.24499308,127.6488102,,정상가동,99.66,380.0,60,2024,,2024-09-02,충청북도 옥천군,,2024-09-27
광수 태양광발전소,,충청북도 옥천군 이원면 용방리 446-3,36.24499308,127.6488102,,정상가동,99.66,380.0,60,2024,,2024-09-02,충청북도 옥천군,,2024-09-27
드림1 태양광발전소,,충청북도 옥천군 이원면 용방리 527,36.24590697,127.6487822,,정상가동,99.66,380.0,60,2024,,2024-08-30,충청북도 옥천군,,2024-09-27
해영1 태양광발전소,,충청북도 옥천군 이원면 용방리 527,36.24590697,127.6487822,,정상가동,99.66,380.0,60,2024,,2024-08-30,충청북도 옥천군,,2024-09-27
더조은경제연구소 옥천29호 태양광발전소,,충청북도 옥천군 이원면 용방리 448,36.24485534,127.6484734,,정상가동,99.66,380.0,60,2024,,2024-08-30,충청북도 옥천군,,2024-09-27
두산 태양광발전소,,충청북도 옥천군 이원면 용방리 446-3,36.24499308,127.6488102,,정상가동,99.66,380.0,60,2024,,2024-08-30,충청북도 옥천군,,2024-09-27
대환 태양광발전소,,충청북도 옥천군 청성면 장연리 411-1,36.34743658,127.7568361,,정상가동,99.66,380.0,60,2024,,2024-05-07,충청북도 옥천군,,2024-09-27
자두태양광발전소 4호,,충청북도 옥천군 이원면 용방리 65,36.24926748,127.6587694,,정상가동,99.82,380.0,60,2024,,2024-07-16,충청북도 옥천군,,2024-09-27
오덕리 태양광발전소 3호,,충청북도 옥천군 안내면 오덕리 107,36.3858182,127.7274787,,정상가동,99.38,380.0,60,2024,,2024-08-26,충청북도 옥천군,,2024-09-27
정성 태양광발전소,,충청북도 옥천군 옥천읍 서대리 240-1,36.28174526,127.5791882,,정상가동,102.2,380.0,60,2024,,2024-08-26,충청북도 옥천군,,2024-09-27
