태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자
포스 태양광발전소,강원특별자치도 원주시 행구로 54,강원특별자치도 원주시 개운동 28-1,37.3409328299,127.9620870604,,정상가동,99,380,60,2023,,2023-02-16,,,2025-02-05
강저비,충청북도 제천시 의병대로14길 24,충청북도 제천시 명동 174,37.1350260412,128.2067285197,,정상가동,99,380,60,2018,,2018-05-09,,,2025-02-05
강저와이,충청북도 제천시 제천북로22길 22,충청북도 제천시 고암동 1073번지 4호,37.1642675888,128.2211114643,,정상가동,99,380,60,2018,,2018-05-09,,,2025-02-05
강저에스,충청북도 제천시 수산면 상천길 92-11,충청북도 제천시 수산면 상천리 368번지 9호,36.9644802652,128.2397830356,,정상가동,73,380,60,2018,,2018-05-09,,,2025-02-05
경환,충청북도 제천시 강저로15길 14,충청북도 제천시 강제동 602,37.122694,128.194953,,정상가동,51,380,60,2013,,2013-05-22,,,2025-02-05
대황금산업태양광발전소2호,충청북도 제천시 풍양로 51-1,충청북도 제천시 의림동 257-5,37.1392184458,128.2059830013,,정상가동,94,380,60,2020,,2020-11-11,,,2025-02-05
대황금산업태양광발전소,충청북도 제천시 풍양로 51-1,충청북도 제천시 의림동 257-5,37.1392184458,128.2059830013,,정상가동,94,380,60,2020,,2020-11-11,,,2025-02-05
광채,충청북도 제천시 장락로 62,충청북도 제천시 장락동 678,37.1474165025,128.2231717648,,정상가동,76,380,60,2014,,2014-07-15,,,2025-02-05
제천은혜 태양광발전소,충청북도 제천시 청전대로 187,충청북도 제천시 장락동 642-6,37.15213931,128.2182636,,정상가동,99,380,60,2023,,2023-01-31,,,2025-02-05
중앙,충청북도 제천시 고암로1길 1,충청북도 제천시 청전동 627,37.152142,128.216307,,정상가동,18,380,60,2015,,2015-10-12,,,2025-02-05
그린에너지,충청북도 제천시 관전로 43,충청북도 제천시 신백동 215,37.129213,128.228149,,정상가동,30,380,60,2012,,2012-07-05,,,2025-02-05
금강2호태양광발전소,충청북도 제천시 의병대로20길 28-1,충청북도 제천시 남천동 1374-2,37.13319127,128.2135994,,정상가동,15,380,60,2016,,2016-12-15,,,2025-02-05
김원기,충청북도 제천시 금성면 국사봉로 1629,충청북도 제천시 금성면 구룡리 272번지 13호,37.065596,128.166502,,정상가동,19,380,60,2018,,2018-11-15,,,2025-02-05
태강농장발전소1호,충청북도 제천시 금성면 국사봉로12길 97,충청북도 제천시 금성면 활산리 84-1,37.05711346,128.136754,,정상가동,99,380,60,2022,,2022-12-30,,,2025-02-05
태강농장발전소2호,충청북도 제천시 금성면 국사봉로12길 97,충청북도 제천시 금성면 활산리 84-1,37.05711346,128.136754,,정상가동,96,380,60,2022,,2022-12-30,,,2025-02-05
청풍호 2호 태양광발전소,충청북도 제천시 금성면 신담길 250-23,충청북도 제천시 금성면 중전리 20,37.05949145,128.1933613,,정상가동,297,380,60,2024,,2024-05-13,,,2025-02-05
김진욱2호,충청북도 제천시 금성면 국사봉로18길 40,충청북도 제천시 금성면 사곡리 207-1,37.070035,128.149126,,정상가동,99,380,60,2021,,2021-12-14,,,2025-02-05
김진욱4호 태양광발전소,충청북도 제천시 금성면 국사봉로18길 42,충청북도 제천시 금성면 사곡리 207-2,37.0696678235,128.1493056692,,정상가동,99,380,60,2022,,2022-11-10,,,2025-02-05
김진욱3호,충청북도 제천시 금성면 국사봉로18길 43,충청북도 제천시 금성면 사곡리 210,37.070421,128.149902,,정상가동,99,380,60,2022,,2022-05-12,,,2025-02-05
김진욱1호,충청북도 제천시 금성면 국사봉로18길 43,충청북도 제천시 금성면 사곡리 210,37.070421,128.149902,,정상가동,99,380,60,2021,,2021-12-14,,,2025-02-05
원종태,충청북도 제천시 금성면 국사봉로18길 98,충청북도 제천시 금성면 사곡리 119번지,37.068473,128.151327,,정상가동,196,380,60,2018,,2018-10-18,,,2025-02-05
남산3호,충청북도 제천시 금성면 국사봉로20길 30-91,충청북도 제천시 금성면 적덕리 311,37.065426,128.1525795833,,정상가동,66,380,60,2022,,2022-08-17,,,2025-02-05
남산2호,충청북도 제천시 금성면 국사봉로20길 30-91,충청북도 제천시 금성면 적덕리 311,37.065426,128.1525795833,,정상가동,89,380,60,2022,,2022-08-17,,,2025-02-05
남산1호,충청북도 제천시 금성면 국사봉로20길 30-91,충청북도 제천시 금성면 적덕리 311,37.065426,128.1525795833,,정상가동,89,380,60,2022,,2022-08-17,,,2025-02-05
김금숙 태양광발전소,충청북도 제천시 금성면 국사봉로28길 26,충청북도 제천시 금성면 구룡리 466-61,37.063145,128.166519,,정상가동,19,380,60,2021,,2021-06-10,,,2025-02-05
활산리마을,충청북도 제천시 금성면 국사봉로11길 39,충청북도 제천시 금성면 활산리 156,37.06805509,128.1349894,,정상가동,19,380,60,2018,,2018-09-19,,,2025-02-05
동막 태양광발전소,세종특별자치시 보람로 15,세종특별자치시 도담동 855,36.51063124,127.2635877,,정상가동,499,380,60,2022,,2022-10-26,,,2025-02-05
대장,충청북도 제천시 용두천로40길 14,충청북도 제천시 청전동 2번지 26호,37.15512558,128.218606,,정상가동,648,22900,60,2017,,2017-11-07,,,2025-02-05
동막1호,세종특별자치시 시청대로 500,세종특별자치시 반곡동 59-7,36.4998364859,127.3139088655,,정상가동,94,380,60,2020,,2020-11-02,,,2025-02-05
동막5호,경상남도 함안군 가야읍 방목1길 37-30,경상남도 함안군 가야읍 말산리 495-25,35.2787402064,128.4052756977,,정상가동,94,380,60,2020,,2020-08-24,,,2025-02-05
동막4호,경기도 고양시 덕양구 도래울로 16,경기도 고양시 덕양구 도내동 1103,37.6273192012,126.8675323051,,정상가동,94,380,60,2020,,2020-08-24,,,2025-02-05
동막3호,경기도 용인시 기흥구 산양로 17,경기도 용인시 기흥구 신갈동 158,37.2848705436,127.1064468623,,정상가동,94,380,60,2020,,2020-08-24,,,2025-02-05
동막2호,경기도 용인시 기흥구 산양로 17,경기도 용인시 기흥구 신갈동 158,37.2848705436,127.1064468623,,정상가동,94,380,60,2020,,2020-08-24,,,2025-02-05
하늘동막5호 태양광발전소,서울특별시 강동구 성안로27길 63-19,서울특별시 강동구 천호동 167-104,37.5392848413,127.1323687117,,정상가동,95,380,60,2023,,2023-10-17,,,2025-02-05
하늘동막4호 태양광발전소,서울특별시 성북구 돌곶이로25길 83,서울특별시 성북구 장위동 65-166,37.6093143033,127.0528483728,,정상가동,99,380,60,2023,,2023-10-17,,,2025-02-05
하늘동막3호 태양광발전소,서울특별시 성북구 종암로11길 18,서울특별시 성북구 종암동 41-2,37.596106921,127.034422846,,정상가동,99,380,60,2023,,2023-10-17,,,2025-02-05
하늘동막2호 태양광발전소,경기도 안양시 동안구 학의로 146,경기도 안양시 동안구 관양동 1586-5,37.4007577872,126.9558955648,,정상가동,99,380,60,2023,,2023-10-17,,,2025-02-05
하늘동막1호 태양광발전소,서울특별시 양천구 목동로 212,서울특별시 양천구 목동 925,37.5292498872,126.8670931975,,정상가동,99,380,60,2023,,2023-10-17,,,2025-02-05
한라산 태양광발전소,서울특별시 강동구 양재대로85길 20,서울특별시 강동구 성내동 439-4,37.5246367617,127.1336241,,정상가동,227,380,60,2023,,2023-07-20,,,2025-02-05
리우 태양광발전소,경기도 평택시 비전3로 59,경기도 평택시 비전동 1011,37.0073428481,127.1076907116,,정상가동,99,380,60,2023,,2023-10-13,,,2025-02-05
동막2호 태양광발전소,경기도 파주시 양지로 120,경기도 파주시 동패동 2129,37.7084009808,126.7242411339,,정상가동,99,380,60,2023,,2023-10-13,,,2025-02-05
YSP1호 태양광발전소,서울특별시 강남구 자곡로3길 21,서울특별시 강남구 자곡동 619,37.4717696094,127.0881160037,,정상가동,99,380,60,2023,,2023-10-13,,,2025-02-05
해투그린발전소3호 태양광발전소,경기도 평택시 진위면 경기대로 1785,경기도 평택시 진위면 견산리 548-4,37.1038060868,127.0633584952,,정상가동,99,380,60,2023,,2023-10-13,,,2025-02-05
동중4 태양광발전소,,경기도 연천군 미산면 유촌리 763,38.0614560888,126.9799476148,,정상가동,991,22900,60,2023,,2023-08-01,,,2025-02-05
햇빛드림1호 태양광발전소,전북특별자치도 김제시 죽산면 옥성6길 88-8,전북특별자치도 김제시 죽산면 옥성리 713-1,35.7829833122,126.8220569706,,정상가동,143,380,60,2023,,2023-10-17,,,2025-02-05
한양트랜스2,경기도 남양주시 화도읍 묵현로76번길 10-49,경기도 남양주시 화도읍 묵현리 113번지,37.6629619997,127.2954826996,,정상가동,98,380220,60,2019,,2019-09-09,,,2025-02-05
미보라,서울특별시 관악구 관악로 133,서울특별시 관악구 봉천동 1701번지,37.4769280465,126.952062712,,정상가동,98,380220,60,2019,,2019-09-09,,,2025-02-05
(주)늘해찬쏠라에너지-제천,서울특별시 강남구 개포로 516,서울특별시 강남구 개포동 185번지,37.4891406793,127.0708714805,,정상가동,97,380220,60,2019,,2019-09-09,,,2025-02-05
브레인네스트,서울특별시 강남구 봉은사로 129,서울특별시 강남구 논현동 203번지 1호,37.505916453,127.0283134289,,정상가동,98,380220,60,2019,,2019-09-09,,,2025-02-05
중전리마을,충청북도 제천시 금성면 신담2길 13,충청북도 제천시 금성면 중전리 198-3,37.056704,128.188745,,정상가동,19,380,60,2018,,2018-09-19,,,2025-02-05
청풍호 1호 태양광발전소,충청북도 제천시 금성면 신담길 250-23,충청북도 제천시 금성면 중전리 20,37.05949145,128.1933613,,정상가동,297,380,60,2024,,2024-05-13,,,2025-02-05
충북 태양광 협동조합 124호 발전소(월림2리 마을회),충청북도 청주시 청원구 오창읍 연구단지로 40,충청북도 청주시 청원구 오창읍 양청리 685번지 1호,36.72165726,127.42945,,정상가동,31,380,60,2019,,2019-11-04,,,2025-02-05
세기 태양광발전소,충청북도 제천시 금성면 월림로2길 18,충청북도 제천시 금성면 월림리 268-1,37.0748184,128.1803878,,정상가동,99,380,60,2023,,2023-01-27,,,2025-02-05
시원발전소,충청북도 제천시 의림대로26길 18-9,충청북도 제천시 청전동 156-8,37.14426928,128.2152556,,정상가동,66,380,60,2023,,2023-05-26,,,2025-02-05
에스알이앤에스 제2태양광발전소,충청북도 제천시 금성면 양월로 46-72,충청북도 제천시 금성면 양화리 948-1,37.076486,128.193271,,정상가동,33,380,60,2022,,2022-04-18,,,2025-02-05
에스알이앤에스,충청북도 음성군 삼성면 대청로 322,충청북도 음성군 삼성면 청용리 196-3,36.99801657,127.4780912,,정상가동,29,380,60,2020,,2020-10-23,,,2025-02-05
영선그루밍,충청북도 제천시 금성면 청풍호로 416-11,충청북도 제천시 금성면 양화리 496,37.094063,128.201292,,정상가동,19,380,60,2016,,2016-06-07,,,2025-02-05
제2호금성축사,충청북도 제천시 금성면 월림로2길 46-20,충청북도 제천시 금성면 월림리 259,37.0767092254,128.1778372152,,정상가동,97,380,60,2015,,2015-06-09,,,2025-02-05
상말발전소5호,충청북도 제천시 금성면 월림로 99-77,충청북도 제천시 금성면 위림리 170-4,37.07992741,128.1683901,,정상가동,72,380,60,2024,,2024-03-11,,,2025-02-05
상말발전소4호,충청북도 제천시 금성면 월림로 99-77,충청북도 제천시 금성면 위림리 170-4,37.07992741,128.1683901,,정상가동,99,380,60,2024,,2024-03-11,,,2025-02-05
상말발전소3호,충청북도 제천시 금성면 월림로 99-77,충청북도 제천시 금성면 위림리 170-4,37.07992741,128.1683901,,정상가동,99,380,60,2024,,2024-03-11,,,2025-02-05
