sido_code,sido_name,gugun_code,gugun_name,cnt,inst_capa,gelec_qty,cnt_ratio,capa_ratio,gelec_diff
11,서울특별시,11110,종로구,5,201,12.89,0.9,0.4,-0.29
11,서울특별시,11140,중구,7,172,12.05,1.3,0.4,-1.13
11,서울특별시,11170,용산구,3,105,11.75,0.5,0.2,-1.43
11,서울특별시,11200,성동구,15,"4,278",12.68,2.7,8.8,-0.50
11,서울특별시,11215,광진구,38,"3,233",13.58,6.9,6.7,0.40
11,서울특별시,11230,동대문구,24,745,13.0,4.3,1.5,-0.18
11,서울특별시,11260,중랑구,30,"2,971",13.43,5.4,6.1,0.25
11,서울특별시,11290,성북구,26,630,12.55,4.7,1.3,-0.63
11,서울특별시,11305,강북구,24,"1,061",12.9,4.3,2.2,-0.28
11,서울특별시,11320,도봉구,28,"1,089",12.82,5.1,2.2,-0.36
11,서울특별시,11350,노원구,31,"2,351",13.24,5.6,4.8,0.06
11,서울특별시,11380,은평구,25,971,12.75,4.5,2.0,-0.43
11,서울특별시,11410,서대문구,17,675,13.17,3.1,1.4,-0.01
11,서울특별시,11440,마포구,9,326,13.29,1.6,0.7,0.11
11,서울특별시,11470,양천구,13,532,12.89,2.3,1.1,-0.29
11,서울특별시,11500,강서구,31,"8,211",13.99,5.6,16.9,0.81
11,서울특별시,11530,구로구,29,"1,828",13.13,5.2,3.8,-0.05
11,서울특별시,11545,금천구,23,"1,032",13.05,4.2,2.1,-0.13
11,서울특별시,11560,영등포구,17,736,13.5,3.1,1.5,0.32
11,서울특별시,11590,동작구,16,455,12.84,2.9,0.9,-0.34
11,서울특별시,11620,관악구,26,846,13.63,4.7,1.7,0.45
11,서울특별시,11650,서초구,23,"1,519",12.75,4.2,3.1,-0.43
11,서울특별시,11680,강남구,23,"2,306",14.08,4.2,4.7,0.90
11,서울특별시,11710,송파구,35,"3,516",12.99,6.3,7.2,-0.19
11,서울특별시,11740,강동구,30,"8,619",13.22,5.4,17.7,0.04
26,부산광역시,26110,중구,7,299,17.2,0.5,0.1,-0.04
26,부산광역시,26140,서구,6,386,14.42,0.4,0.1,-2.82
26,부산광역시,26170,동구,8,984,15.12,0.5,0.3,-2.12
26,부산광역시,26200,영도구,10,551,16.63,0.7,0.2,-0.61
26,부산광역시,26230,부산진구,14,"4,340",15.19,1.0,1.3,-2.05
26,부산광역시,26260,동래구,20,755,15.92,1.4,0.2,-1.32
26,부산광역시,26290,남구,13,"6,120",15.69,0.9,1.9,-1.55
26,부산광역시,26320,북구,12,"1,703",15.67,0.8,0.5,-1.57
26,부산광역시,26350,해운대구,20,"1,472",16.2,1.4,0.4,-1.04
26,부산광역시,26380,사하구,99,"17,547",17.16,6.8,5.3,-0.08
26,부산광역시,26410,금정구,37,"7,470",15.87,2.5,2.3,-1.37
26,부산광역시,26440,강서구,900,"224,189",17.56,61.4,68.0,0.32
26,부산광역시,26470,연제구,5,134,17.23,0.3,0.0,-0.01
26,부산광역시,26500,수영구,5,174,16.45,0.3,0.1,-0.79
26,부산광역시,26530,사상구,68,"4,951",16.96,4.6,1.5,-0.28
26,부산광역시,26710,기장군,238,"58,267",17.09,16.2,17.7,-0.15
27,대구광역시,27110,중구,14,300,16.2,0.4,0.1,-0.60
27,대구광역시,27140,동구,244,"21,529",16.74,6.6,4.3,-0.06
27,대구광역시,27170,서구,232,"19,652",17.12,6.3,3.9,0.32
27,대구광역시,27200,남구,32,658,16.72,0.9,0.1,-0.08
27,대구광역시,27230,북구,475,"43,953",16.96,12.9,8.7,0.16
27,대구광역시,27260,수성구,55,"2,397",15.71,1.5,0.5,-1.09
27,대구광역시,27290,달서구,786,"104,214",17.18,21.3,20.7,0.38
27,대구광역시,27710,달성군,"1,039","165,804",16.94,28.2,32.9,0.14
27,대구광역시,27720,군위군,809,"145,892",16.24,21.9,28.9,-0.56
28,인천광역시,28110,중구,81,"25,007",14.67,6.3,13.5,-0.47
28,인천광역시,28140,동구,6,"1,137",14.12,0.5,0.6,-1.02
28,인천광역시,28177,미추홀구,30,"2,542",14.57,2.3,1.4,-0.57
28,인천광역시,28185,연수구,19,"2,347",14.33,1.5,1.3,-0.81
28,인천광역시,28200,남동구,116,"19,274",15.0,9.1,10.4,-0.14
28,인천광역시,28237,부평구,28,"2,272",15.06,2.2,1.2,-0.08
28,인천광역시,28245,계양구,29,"3,580",14.88,2.3,1.9,-0.26
28,인천광역시,28260,서구,452,"74,402",15.69,35.4,40.3,0.55
28,인천광역시,28710,강화군,481,"39,290",14.92,37.6,21.3,-0.22
28,인천광역시,28720,옹진군,32,"13,979",14.12,2.5,7.6,-1.02
29,광주광역시,29110,동구,38,"6,842",15.26,1.5,1.7,-0.43
29,광주광역시,29140,서구,233,"21,623",15.22,9.4,5.5,-0.47
29,광주광역시,29155,남구,114,"13,951",15.57,4.6,3.5,-0.12
29,광주광역시,29170,북구,521,"59,362",15.4,21.0,15.1,-0.29
29,광주광역시,29200,광산구,"1,570","294,724",15.87,63.3,74.8,0.18
30,대전광역시,30110,동구,134,"10,032",15.21,16.5,13.9,-0.31
30,대전광역시,30140,중구,87,"4,265",15.64,10.7,5.9,0.12
30,대전광역시,30170,서구,142,"5,633",15.56,17.5,7.8,0.04
30,대전광역시,30200,유성구,181,"21,460",15.76,22.3,29.7,0.24
30,대전광역시,30230,대덕구,265,"30,571",15.43,32.7,42.3,-0.09
31,울산광역시,31110,중구,14,392,16.21,1.4,0.2,-0.10
31,울산광역시,31140,남구,100,"24,499",16.41,10.3,13.1,0.10
31,울산광역시,31170,동구,26,"1,414",17.48,2.7,0.8,1.17
31,울산광역시,31200,북구,216,"53,847",17.04,22.2,28.7,0.73
31,울산광역시,31710,울주군,617,"107,432",15.99,63.3,57.3,-0.32
36,세종특별자치시,36110,세종시,681,"97,785",15.34,99.9,100.2,0.00
41,경기도,41110,수원시,152,"13,441",14.18,0.8,0.6,-0.85
41,경기도,41130,성남시,38,"3,679",13.88,0.2,0.2,-1.15
41,경기도,41150,의정부시,47,"7,079",14.14,0.2,0.3,-0.89
41,경기도,41170,안양시,29,"1,971",13.61,0.1,0.1,-1.42
41,경기도,41190,부천시,36,"3,074",14.5,0.2,0.1,-0.53
41,경기도,41210,광명시,31,"3,996",14.97,0.2,0.2,-0.06
41,경기도,41220,평택시,"1,228","160,931",15.77,6.2,7.0,0.74
41,경기도,41250,동두천시,101,"12,168",14.38,0.5,0.5,-0.65
41,경기도,41270,안산시,441,"60,557",15.42,2.2,2.6,0.39
41,경기도,41280,고양시,490,"44,480",14.72,2.5,1.9,-0.31
41,경기도,41290,과천시,3,225,14.69,0.0,0.0,-0.34
41,경기도,41310,구리시,18,"1,284",13.38,0.1,0.1,-1.65
41,경기도,41360,남양주시,335,"33,110",14.47,1.7,1.4,-0.56
41,경기도,41370,오산시,69,"9,433",14.92,0.4,0.4,-0.11
41,경기도,41390,시흥시,444,"65,773",15.86,2.3,2.8,0.83
41,경기도,41410,군포시,25,"9,621",14.47,0.1,0.4,-0.56
41,경기도,41430,의왕시,16,"1,366",13.72,0.1,0.1,-1.31
41,경기도,41450,하남시,51,"3,610",13.36,0.3,0.2,-1.67
41,경기도,41460,용인시,502,"54,072",14.5,2.6,2.3,-0.53
41,경기도,41480,파주시,"1,329","140,832",14.98,6.8,6.1,-0.05
41,경기도,41500,이천시,"1,343","181,189",14.84,6.8,7.8,-0.19
41,경기도,41550,안성시,"2,082","245,477",15.45,10.6,10.6,0.42
41,경기도,41570,김포시,"1,415","124,787",15.59,7.2,5.4,0.56
41,경기도,41590,화성시,"2,909","316,349",15.42,14.8,13.7,0.39
41,경기도,41610,광주시,552,"54,574",14.29,2.8,2.4,-0.74
41,경기도,41630,양주시,672,"63,755",14.93,3.4,2.8,-0.10
41,경기도,41650,포천시,"1,732","203,186",14.68,8.8,8.8,-0.35
41,경기도,41670,여주시,"1,588","200,416",14.77,8.1,8.7,-0.26
41,경기도,41800,연천군,970,"209,794",14.68,4.9,9.1,-0.35
41,경기도,41820,가평군,400,"43,285",13.53,2.0,1.9,-1.50
41,경기도,41830,양평군,590,"35,647",14.21,3.0,1.5,-0.82
43,충청북도,43110,청주시,"3,381","380,694",15.59,22.6,21.5,0.32
43,충청북도,43130,충주시,"1,676","179,625",14.42,11.2,10.2,-0.85
43,충청북도,43150,제천시,"1,058","117,886",14.58,7.1,6.7,-0.69
43,충청북도,43720,보은군,"1,176","138,779",15.67,7.9,7.8,0.40
43,충청북도,43730,옥천군,"1,592","164,338",15.83,10.6,9.3,0.56
43,충청북도,43740,영동군,"1,460","153,644",15.89,9.7,8.7,0.62
43,충청북도,43750,진천군,"1,071","149,462",15.13,7.2,8.4,-0.14
43,충청북도,43760,괴산군,"1,229","147,664",14.81,8.2,8.3,-0.46
43,충청북도,43770,음성군,"1,775","246,652",15.3,11.9,13.9,0.03
43,충청북도,43800,단양군,546,"92,014",14.16,3.6,5.2,-1.11
44,충청남도,44130,천안시,"2,413","292,349",15.91,9.6,7.0,0.07
44,충청남도,44150,공주시,"2,074","209,833",15.24,8.3,5.0,-0.60
44,충청남도,44180,보령시,"1,410","206,203",15.98,5.6,4.9,0.14
44,충청남도,44200,아산시,"1,858","265,994",16.08,7.4,6.4,0.24
44,충청남도,44210,서산시,"1,669","534,668",15.72,6.7,12.8,-0.12
44,충청남도,44230,논산시,"3,268","353,339",15.97,13.0,8.5,0.13
44,충청남도,44250,계룡시,48,"4,291",15.95,0.2,0.1,0.11
44,충청남도,44270,당진시,"1,963","476,167",15.86,7.8,11.4,0.02
44,충청남도,44710,금산군,"1,750","210,825",16.02,7.0,5.1,0.18
44,충청남도,44760,부여군,"1,793","248,493",15.76,7.2,6.0,-0.08
44,충청남도,44770,서천군,"1,780","197,407",16.71,7.1,4.7,0.87
